outcome_label,rank,school_rbd,school_name,comuna_name,region_name,dependency_detail_label,dependency_group_label,private_paid,eb_va,original_va,eb_reliability,n_students_regression,n_total,controlled_value_added_se,outcome
Math,1,25961,COLEGIO PALMARES,QUILICURA,RM,Particular Subvencionado,Particular Subvencionado,FALSE,0.708822799075772,0.7363916,0.955609723198695,408,556607,0.05326993,z_year_math_max
Math,2,20266,LICEO BICENTENARIO DE TEMUCO,TEMUCO,ARAUC,Municipal DAEM,Municipal,FALSE,0.678110508455192,0.77754855,0.865528827547956,253,556607,0.097420938,z_year_math_max
Math,3,16955,ESCUELA BASICA COLEGIO SAN JUAN DE LAMPA,LAMPA,RM,Particular Subvencionado,Particular Subvencionado,FALSE,0.657495835615413,0.88258308,0.739166687945334,72,556607,0.14682122,z_year_math_max
Math,4,8833,LICEO BICENTENARIO DE EXCELENCIA MARIA LUISA BOMBAL,VITACURA,RM,Particular Subvencionado,Particular Subvencionado,FALSE,0.619595688573612,0.75743735,0.811256360195482,120,556607,0.11921629,z_year_math_max
Math,5,15690,COLEGIO LOS CIPRESES,DOÑIHUE,LGBO,Particular Subvencionado,Particular Subvencionado,FALSE,0.608640594212507,0.67031658,0.900351852686194,233,556607,0.082225583,z_year_math_max
Math,6,24486,COLEGIO POLIVALENTE SAN RAFAEL,LO BARNECHEA,RM,Particular Subvencionado,Particular Subvencionado,FALSE,0.592004743816673,0.69000846,0.850547427055438,154,556607,0.10360505,z_year_math_max
Math,7,8835,LICEO BICENTENARIO SANTA MARIA DE LAS CONDES,LAS CONDES,RM,Corporacion Municipal,Municipal,FALSE,0.588665306817354,0.63695228,0.916152594100821,130,556607,0.074772067,z_year_math_max
Math,8,9100,LICEO REPUBLICA DE SIRIA,ÑUÑOA,RM,Corporacion Municipal,Municipal,FALSE,0.566107748833405,0.60433042,0.928280138723377,440,556607,0.068700306,z_year_math_max
Math,9,8822,LICEO JUAN PABLO II DE LAS CONDES,LAS CONDES,RM,Corporacion Municipal,Municipal,FALSE,0.556591435329759,0.6091333,0.905338142245041,116,556607,0.07992094,z_year_math_max
Math,10,5813,COLEGIO CENTENARIO DE TEMUCO,TEMUCO,ARAUC,Particular Subvencionado,Particular Subvencionado,FALSE,0.547898658049591,0.58333504,0.930475278711876,269,556607,0.067560941,z_year_math_max
Math,11,9071,LICEO AUGUSTO D HALMAR,ÑUÑOA,RM,Corporacion Municipal,Municipal,FALSE,0.514043822200921,0.52823007,0.963451397058279,398,556607,0.048139211,z_year_math_max
Math,12,3530,COLEGIO PARTICULAR SAN JOSE,SAN JAVIER,MAULE,Particular Subvencionado,Particular Subvencionado,FALSE,0.513220742259731,0.55010027,0.923651469630733,219,556607,0.071059927,z_year_math_max
Math,13,25749,COLEGIO PART. ALICANTE DEL ROSAL,MAIPÚ,RM,Particular Subvencionado,Particular Subvencionado,FALSE,0.484355666831555,0.49349377,0.971108204363324,679,556607,0.04263163,z_year_math_max
Math,14,24498,COLEGIO SAN JOAQUIN,RENCA,RM,Particular Subvencionado,Particular Subvencionado,FALSE,0.483419133774148,0.59173167,0.808304401752904,148,556607,0.12036413,z_year_math_max
Math,15,4140,LICEO BICENTENARIO DE EXCELENCIA POLIVALENTE SAN NICOLÁS,SAN NICOLÁS,NUBLE,Municipal DAEM,Municipal,FALSE,0.449504268373252,0.45230809,0.982481758272762,871,556607,0.033003613,z_year_math_max
Math,16,5659,ESCUELA Y LICEO MONTESSORI,TEMUCO,ARAUC,Particular Subvencionado,Particular Subvencionado,FALSE,0.427850684802222,0.46020162,0.918577517328547,274,556607,0.073585585,z_year_math_max
Math,17,8815,COLEGIO SAN FRANCISCO DEL ALBA,LAS CONDES,RM,Corporacion Municipal,Municipal,FALSE,0.420124117077791,0.47411281,0.875328164935143,206,556607,0.093277566,z_year_math_max
Math,18,22536,CENTRO EDUCACIONAL SAN SEBASTIAN DE ANCUD,ANCUD,LAGOS,Particular Subvencionado,Particular Subvencionado,FALSE,0.4127120230323,0.51695549,0.788447370820845,75,556607,0.12802693,z_year_math_max
Math,19,16477,COLEGIO AQUELARRE,TENO,MAULE,Particular Subvencionado,Particular Subvencionado,FALSE,0.411782937536724,0.48017898,0.846899032448621,109,556607,0.10508764,z_year_math_max
Math,20,16604,INSTITUTO LATINOAMERICANO-EUROPEO DE,TALCA,MAULE,Particular Subvencionado,Particular Subvencionado,FALSE,0.402813801599397,0.44417208,0.895360139382843,62,556607,0.084494449,z_year_math_max
Math,21,31048,COMPLEJO EDUC. ADULTOS CALETA SUR,LO ESPEJO,RM,Particular Subvencionado,Particular Subvencionado,FALSE,0.390408922474348,0.90211487,0.427095388635647,5,556607,0.28625771,z_year_math_max
Math,22,17719,COLEGIO PARTICULAR CONTINENTAL,CURANILAHUE,BBIO,Particular Subvencionado,Particular Subvencionado,FALSE,0.388641508843226,0.57362467,0.668593431037638,127,556607,0.17401151,z_year_math_max
Math,23,25770,LICEO NACIONAL DE MAIPU,MAIPÚ,RM,Servicio Local de Educacion,Servicio Local de Educacion,FALSE,0.387139045139522,0.39066687,0.977864390354364,833,556607,0.037186466,z_year_math_max
Math,24,20153,COLEGIO PUCÓN,PUCÓN,ARAUC,Particular Subvencionado,Particular Subvencionado,FALSE,0.3854887496838,0.44604269,0.852763510674063,86,556607,0.10270035,z_year_math_max
Math,25,1190,COLEGIO PARROQUIAL FRANCISCO DIDIER,ZAPALLAR,VALPO,Particular Subvencionado,Particular Subvencionado,FALSE,0.385049586301022,0.46355227,0.819605018917621,85,556607,0.11595471,z_year_math_max
Math,26,31103,LICEO BICENTENARIO DE CORONEL,CORONEL,BBIO,Servicio Local de Educacion,Servicio Local de Educacion,FALSE,0.383190197672881,0.42032868,0.899463672995637,290,556607,0.082631983,z_year_math_max
Math,27,24721,COLEGIO LEONARDO DA VINCI DE LAS CONDES,LAS CONDES,RM,Corporacion Municipal,Municipal,FALSE,0.369420665959531,0.47637177,0.764740629816215,90,556607,0.13708656,z_year_math_max
Math,28,16716,LICEO BICENTENARIO ZAPALLAR DE CURICO,CURICÓ,MAULE,Municipal DAEM,Municipal,FALSE,0.359695643565838,0.36393562,0.974281719663047,598,556607,0.040156621,z_year_math_max
Math,29,4691,COLEGIO CHILENO ARABE,CHIGUAYANTE,BBIO,Particular Subvencionado,Particular Subvencionado,FALSE,0.355626427657508,0.40057793,0.875002282635687,112,556607,0.093416788,z_year_math_max
Math,30,24207,LICEO SAN JOSE U.R.,AYSÉN,AYSEN,Particular Subvencionado,Particular Subvencionado,FALSE,0.35489689426816,0.38188314,0.915926971783135,255,556607,0.074881822,z_year_math_max
Verbal,1,25961,COLEGIO PALMARES,QUILICURA,RM,Particular Subvencionado,Particular Subvencionado,FALSE,0.622302325004013,0.67859846,0.90981508008031,409,563429,0.054088309,z_year_leng_max
Verbal,2,9071,LICEO AUGUSTO D HALMAR,ÑUÑOA,RM,Corporacion Municipal,Municipal,FALSE,0.461233464760993,0.49345598,0.924763863777904,399,563429,0.049001664,z_year_leng_max
Verbal,3,8822,LICEO JUAN PABLO II DE LAS CONDES,LAS CONDES,RM,Corporacion Municipal,Municipal,FALSE,0.424185281908173,0.51083213,0.820782497786431,119,563429,0.080276638,z_year_leng_max
Verbal,4,16604,INSTITUTO LATINOAMERICANO-EUROPEO DE,TALCA,MAULE,Particular Subvencionado,Particular Subvencionado,FALSE,0.410755472186183,0.50640094,0.801444524157132,63,563429,0.08551006,z_year_leng_max
Verbal,5,8835,LICEO BICENTENARIO SANTA MARIA DE LAS CONDES,LAS CONDES,RM,Corporacion Municipal,Municipal,FALSE,0.400145994017812,0.47362822,0.834500068450035,130,563429,0.07650657,z_year_leng_max
Verbal,6,22211,COLEGIO CAHUALA INSULAR,CASTRO,LAGOS,Particular Subvencionado,Particular Subvencionado,FALSE,0.353532687130417,0.52801901,0.660259328393882,109,563429,0.12323371,z_year_leng_max
Verbal,7,24207,LICEO SAN JOSE U.R.,AYSÉN,AYSEN,Particular Subvencionado,Particular Subvencionado,FALSE,0.338587125256818,0.39914581,0.835995031997228,258,563429,0.076092117,z_year_leng_max
Verbal,8,16477,COLEGIO AQUELARRE,TENO,MAULE,Particular Subvencionado,Particular Subvencionado,FALSE,0.329704948938813,0.4512772,0.71973886999787,109,563429,0.10720301,z_year_leng_max
Verbal,9,15690,COLEGIO LOS CIPRESES,DOÑIHUE,LGBO,Particular Subvencionado,Particular Subvencionado,FALSE,0.31749533769797,0.38704824,0.807630915807696,233,563429,0.083844423,z_year_leng_max
Verbal,10,25725,ESCUELA PART. NAHUEL,PAINE,RM,Particular Subvencionado,Particular Subvencionado,FALSE,0.315281369760948,0.34659791,0.895499226372124,251,563429,0.058686763,z_year_leng_max
Verbal,11,24498,COLEGIO SAN JOAQUIN,RENCA,RM,Particular Subvencionado,Particular Subvencionado,FALSE,0.315047845924447,0.45990485,0.674366962439591,149,563429,0.11937932,z_year_leng_max
Verbal,12,8815,COLEGIO SAN FRANCISCO DEL ALBA,LAS CONDES,RM,Corporacion Municipal,Municipal,FALSE,0.30983332104915,0.39573482,0.770541530757571,207,563429,0.093749084,z_year_leng_max
Verbal,13,25770,LICEO NACIONAL DE MAIPU,MAIPÚ,RM,Servicio Local de Educacion,Servicio Local de Educacion,FALSE,0.303220694517035,0.31281722,0.953647912489131,833,563429,0.037875086,z_year_leng_max
Verbal,14,20266,LICEO BICENTENARIO DE TEMUCO,TEMUCO,ARAUC,Municipal DAEM,Municipal,FALSE,0.294626525451395,0.38675782,0.749107840340115,253,563429,0.099422432,z_year_leng_max
Verbal,15,17728,COLEGIO EL BOSQUE,ARAUCO,BBIO,Particular Subvencionado,Particular Subvencionado,FALSE,0.290779873444084,0.52177912,0.547888278737903,110,563429,0.15605938,z_year_leng_max
Verbal,16,5813,COLEGIO CENTENARIO DE TEMUCO,TEMUCO,ARAUC,Particular Subvencionado,Particular Subvencionado,FALSE,0.288891575830912,0.32888958,0.86347632996093,270,563429,0.068311177,z_year_leng_max
Verbal,17,9318,COLEGIO MAURICIO RUGENDAS,LA FLORIDA,RM,Particular Subvencionado,Particular Subvencionado,FALSE,0.28189867838972,0.33816382,0.819116209628956,85,563429,0.080730952,z_year_leng_max
Verbal,18,25749,COLEGIO PART. ALICANTE DEL ROSAL,MAIPÚ,RM,Particular Subvencionado,Particular Subvencionado,FALSE,0.281671691073106,0.29434326,0.940291545227449,681,563429,0.043291204,z_year_leng_max
Verbal,19,9100,LICEO REPUBLICA DE SIRIA,ÑUÑOA,RM,Corporacion Municipal,Municipal,FALSE,0.280483107795247,0.32051679,0.859798620877006,444,563429,0.069373049,z_year_leng_max
Verbal,20,2042,INSTITUTO DEL PUERTO DE SAN ANTONIO,SAN ANTONIO,VALPO,Particular Subvencionado,Particular Subvencionado,FALSE,0.27784207971534,0.33635259,0.811466541124254,324,563429,0.082807928,z_year_leng_max
Verbal,21,16716,LICEO BICENTENARIO ZAPALLAR DE CURICO,CURICÓ,MAULE,Municipal DAEM,Municipal,FALSE,0.268141389926404,0.27804586,0.946743740778494,603,563429,0.040745731,z_year_leng_max
Verbal,22,25722,COLEGIO PART. PATRONA SENORA DE LOURDES,LA FLORIDA,RM,Particular Subvencionado,Particular Subvencionado,FALSE,0.267035757497412,0.33594272,0.780289424145683,221,563429,0.091161326,z_year_leng_max
