rank,school_rbd_Math,school_rbd_Program income,school_rbd_STEM enrollment,school_rbd_Verbal,school_name_Math,school_name_Program income,school_name_STEM enrollment,school_name_Verbal,comuna_name_Math,comuna_name_Program income,comuna_name_STEM enrollment,comuna_name_Verbal,dependency_detail_label_Math,dependency_detail_label_Program income,dependency_detail_label_STEM enrollment,dependency_detail_label_Verbal,eb_va_Math,eb_va_Program income,eb_va_STEM enrollment,eb_va_Verbal,n_students_regression_Math,n_students_regression_Program income,n_students_regression_STEM enrollment,n_students_regression_Verbal
1,25961,399,1443,25961,COLEGIO PALMARES,LICEO JOSÉ ANTONIO CARVAJAL,LICEO INDUSTRIAL A-16 OSCAR CORONA BARAHO,COLEGIO PALMARES,QUILICURA,COPIAPÓ,CALERA,QUILICURA,Particular Subvencionado,Servicio Local de Educacion,Administracion Delegada,Particular Subvencionado,0.708822799075772,0.165158653604965,0.331197136225802,0.622302325004013,408,238,308,409
2,20266,12830,1503,9071,LICEO BICENTENARIO DE TEMUCO,LICEO DE ESTUDIOS CONTABLES Y ADMINISTR.,ESCUELA INDUSTRIAL SUPERIOR DE VALPARAISO,LICEO AUGUSTO D HALMAR,TEMUCO,ANTOFAGASTA,VALPARAÍSO,ÑUÑOA,Municipal DAEM,Particular Subvencionado,Administracion Delegada,Corporacion Municipal,0.678110508455192,0.16046624488087,0.318195297321272,0.461233464760993,253,383,404,399
3,16955,437,9487,8822,ESCUELA BASICA COLEGIO SAN JUAN DE LAMPA,ESCUELA TÉCNICO PROFESIONAL,ESCUELA INDUSTRIAL PART. LAUTARO,LICEO JUAN PABLO II DE LAS CONDES,LAMPA,COPIAPÓ,SAN MIGUEL,LAS CONDES,Particular Subvencionado,Particular Subvencionado,Particular Subvencionado,Corporacion Municipal,0.657495835615413,0.160054472280224,0.286944446673809,0.424185281908173,72,886,63,119
4,8833,11034,1262,16604,LICEO BICENTENARIO DE EXCELENCIA MARIA LUISA BOMBAL,LICEO JORGE ALESSANDRI RODRÍGUEZ,LICEO BICENTENARIO GUILLERMO RICHARDS CUEVAS,INSTITUTO LATINOAMERICANO-EUROPEO DE,VITACURA,TIERRA AMARILLA,SAN FELIPE,TALCA,Particular Subvencionado,Servicio Local de Educacion,Administracion Delegada,Particular Subvencionado,0.619595688573612,0.146841894329445,0.283490238211405,0.410755472186183,120,98,753,63
5,15690,12885,1397,8835,COLEGIO LOS CIPRESES,COLEGIO SAN AGUSTIN,ESCUELA PARTICULAR INDUSTRIAL E. BERTELSEN TEMPLE,LICEO BICENTENARIO SANTA MARIA DE LAS CONDES,DOÑIHUE,ANTOFAGASTA,QUILLOTA,LAS CONDES,Particular Subvencionado,Particular Subvencionado,Particular Subvencionado,Corporacion Municipal,0.608640594212507,0.140927271785262,0.281978392416867,0.400145994017812,233,411,341,130
6,24486,10666,9860,22211,COLEGIO POLIVALENTE SAN RAFAEL,LICEO POLIVALENTE GREGORIO MORALES MIRANDA,LICEO BICENTENARIO INDUSTRIAL DE ELECTROTECNIA RAMON B,COLEGIO CAHUALA INSULAR,LO BARNECHEA,PAINE,LA CISTERNA,CASTRO,Particular Subvencionado,Municipal DAEM,Administracion Delegada,Particular Subvencionado,0.592004743816673,0.140193501833566,0.281218096231324,0.353532687130417,154,213,370,109
7,8835,12970,4165,24207,LICEO BICENTENARIO SANTA MARIA DE LAS CONDES,NORTH COLLEGE,LICEO INDUSTRIAL SAMUEL VIVANCO PARADA,LICEO SAN JOSE U.R.,LAS CONDES,ANTOFAGASTA,LOS ÁNGELES,AYSÉN,Corporacion Municipal,Particular Subvencionado,Municipal DAEM,Particular Subvencionado,0.588665306817354,0.138518408120619,0.275845869055135,0.338587125256818,130,153,169,258
8,9100,10699,279,16477,LICEO REPUBLICA DE SIRIA,LICEO REPUBLICA DE GRECIA,LICEO INDUSTRIAL EULOGIO GORDO MONEO,COLEGIO AQUELARRE,ÑUÑOA,TALAGANTE,ANTOFAGASTA,TENO,Corporacion Municipal,Corporacion Municipal,Corporacion Municipal,Particular Subvencionado,0.566107748833405,0.13842577826165,0.271027454760671,0.329704948938813,440,150,416,109
9,8822,8833,7326,15690,LICEO JUAN PABLO II DE LAS CONDES,LICEO BICENTENARIO DE EXCELENCIA MARIA LUISA BOMBAL,LICEO INDUSTRIAL OSORNO,COLEGIO LOS CIPRESES,LAS CONDES,VITACURA,OSORNO,DOÑIHUE,Corporacion Municipal,Particular Subvencionado,Municipal DAEM,Particular Subvencionado,0.556591435329759,0.136556849529843,0.264914345773903,0.31749533769797,116,121,115,233
10,5813,31340,24482,25725,COLEGIO CENTENARIO DE TEMUCO,NETLAND SCHOOL,LICEO POLITECNICO PARTICULAR ANDES,ESCUELA PART. NAHUEL,TEMUCO,ANTOFAGASTA,RENCA,PAINE,Particular Subvencionado,Particular Subvencionado,Particular Subvencionado,Particular Subvencionado,0.547898658049591,0.136436059690322,0.262210734531432,0.315281369760948,269,537,833,251
