rank,school_rbd_Math,school_rbd_Program income,school_rbd_STEM enrollment,school_rbd_Verbal,school_name_Math,school_name_Program income,school_name_STEM enrollment,school_name_Verbal,comuna_name_Math,comuna_name_Program income,comuna_name_STEM enrollment,comuna_name_Verbal,dependency_detail_label_Math,dependency_detail_label_Program income,dependency_detail_label_STEM enrollment,dependency_detail_label_Verbal,eb_va_Math,eb_va_Program income,eb_va_STEM enrollment,eb_va_Verbal,n_students_regression_Math,n_students_regression_Program income,n_students_regression_STEM enrollment,n_students_regression_Verbal
1,9237,8978,1443,25961,INSTITUTO HEBREO DR CHAIM WEIZMANN-ORT,COLEGIO DUNALASTAIR,LICEO INDUSTRIAL A-16 OSCAR CORONA BARAHO,COLEGIO PALMARES,LO BARNECHEA,LAS CONDES,CALERA,QUILICURA,Particular Pagado,Particular Pagado,Administracion Delegada,Particular Subvencionado,1.18880935752415,0.225845844339509,0.331197136225802,0.622302325004013,264,345,308,409
2,8991,1631,1503,8903,COLEGIO PADRE HURTADO Y JUANITA DE LOS ANDES,"COLEGIO DE LOS SAGRADOS CORAZONES, PADRES FRANCESES",ESCUELA INDUSTRIAL SUPERIOR DE VALPARAISO,COLEGIO LINCOLN INTERNATIONAL ACADEMY,LAS CONDES,VIÑA DEL MAR,VALPARAÍSO,LO BARNECHEA,Particular Pagado,Particular Pagado,Administracion Delegada,Particular Pagado,0.997348802713,0.197866466598189,0.318195297321272,0.602528854773534,414,309,404,90
3,8902,1225,9487,9237,COLEGIO CORDILLERA DE LAS CONDES,INSTITUTO CHACABUCO,ESCUELA INDUSTRIAL PART. LAUTARO,INSTITUTO HEBREO DR CHAIM WEIZMANN-ORT,LAS CONDES,LOS ANDES,SAN MIGUEL,LO BARNECHEA,Particular Pagado,Particular Pagado,Particular Subvencionado,Particular Pagado,0.978088707089017,0.181247852113727,0.286944446673809,0.554235647373938,239,376,63,264
4,8904,366,1262,16453,COLEGIO SANTA URSULA,HRVATSKA SKOLA S. ESTEBAN (EX-J. SKOLA),LICEO BICENTENARIO GUILLERMO RICHARDS CUEVAS,COLEGIO ALBORADA,VITACURA,ANTOFAGASTA,SAN FELIPE,LINARES,Particular Pagado,Particular Pagado,Administracion Delegada,Particular Pagado,0.956448396390357,0.175749364464714,0.283490238211405,0.539940476340968,189,224,753,106
5,8871,1783,1397,8953,COLEGIO LOS ANDES DE VITACURA,COLEGIO BRITANICO ST. MARGARET`S S.A.,ESCUELA PARTICULAR INDUSTRIAL E. BERTELSEN TEMPLE,COLEGIO HUELEN,VITACURA,CONCÓN,QUILLOTA,VITACURA,Particular Pagado,Particular Pagado,Particular Subvencionado,Particular Pagado,0.950209512912908,0.172126458457382,0.281978392416867,0.538156057824928,229,214,341,198
6,8972,399,9860,8904,COLEGIO SAN BENITO,LICEO JOSÉ ANTONIO CARVAJAL,LICEO BICENTENARIO INDUSTRIAL DE ELECTROTECNIA RAMON B,COLEGIO SANTA URSULA,VITACURA,COPIAPÓ,LA CISTERNA,VITACURA,Particular Pagado,Servicio Local de Educacion,Administracion Delegada,Particular Pagado,0.947446421125372,0.165158653604965,0.281218096231324,0.503264193988693,386,238,370,189
7,9046,361,4165,2194,COLEGIO THE GRANGE SCHOOL,COL. THE ANTOFAGASTA BRITISH SCHOOL,LICEO INDUSTRIAL SAMUEL VIVANCO PARADA,INSTITUTO INGLES RANCAGUA,LA REINA,ANTOFAGASTA,LOS ÁNGELES,RANCAGUA,Particular Pagado,Particular Pagado,Municipal DAEM,Particular Pagado,0.937253172767785,0.163654004505932,0.275845869055135,0.496126370209907,467,200,169,277
8,8953,25329,279,8966,COLEGIO HUELEN,COLEGIO SANTA CRUZ DE CHICUREO,LICEO INDUSTRIAL EULOGIO GORDO MONEO,COLEGIO SAINT GABRIEL´S SCHOOL LOCAL SEDE,VITACURA,COLINA,ANTOFAGASTA,PROVIDENCIA,Particular Pagado,Particular Pagado,Corporacion Municipal,Particular Pagado,0.932993864850543,0.160870744281894,0.271027454760671,0.465931093451099,197,279,416,422
9,8906,12830,7326,8867,COLEGIO SAINT GEORGE S COLLEGE,LICEO DE ESTUDIOS CONTABLES Y ADMINISTR.,LICEO INDUSTRIAL OSORNO,COLEGIO SAN FRANCISCO DE ASIS,VITACURA,ANTOFAGASTA,OSORNO,LAS CONDES,Particular Pagado,Particular Subvencionado,Municipal DAEM,Particular Pagado,0.905904102559905,0.16046624488087,0.264914345773903,0.464118671829209,668,383,115,227
10,16453,437,24482,366,COLEGIO ALBORADA,ESCUELA TÉCNICO PROFESIONAL,LICEO POLITECNICO PARTICULAR ANDES,HRVATSKA SKOLA S. ESTEBAN (EX-J. SKOLA),LINARES,COPIAPÓ,RENCA,ANTOFAGASTA,Particular Pagado,Particular Subvencionado,Particular Subvencionado,Particular Pagado,0.900816598810431,0.160054472280224,0.262210734531432,0.464071038044583,105,886,833,224
11,24624,12864,8813,9071,COLEGIO TABOR Y NAZARETH,COLEGIO UNIVERSITARIO ANTONIO RENDIC,LICEO BICENTENARIO TÉCNICO PROFESIONAL IGNACIO DOMEYKO,LICEO AUGUSTO D HALMAR,LO BARNECHEA,ANTOFAGASTA,RECOLETA,ÑUÑOA,Particular Pagado,Particular Pagado,Administracion Delegada,Corporacion Municipal,0.879395178246009,0.157552936634522,0.257026609475294,0.461233464760993,457,151,299,399
12,4688,3015,3641,361,CHARLES DE GAULLE,COLEGIO PARTICULAR MONTESSORI,INSTITUTO INDUSTRIAL SUPERIOR DE CHILLÁN,COL. THE ANTOFAGASTA BRITISH SCHOOL,CONCEPCIÓN,TALCA,CHILLÁN,ANTOFAGASTA,Particular Pagado,Particular Pagado,Administracion Delegada,Particular Pagado,0.869910974407287,0.155016893754628,0.252742443268686,0.459265035054298,235,234,153,200
13,22144,40125,574,25329,COLEGIO PUERTO VARAS,COLEGIO PUMAHUE,ESCUELA INDUSTRIAL SALESIANA SAN RAMON,COLEGIO SANTA CRUZ DE CHICUREO,PUERTO VARAS,VALPARAÍSO,LA SERENA,COLINA,Particular Pagado,Particular Pagado,Particular Subvencionado,Particular Pagado,0.858594884964622,0.149563572721456,0.243178479103477,0.458831175299496,177,173,372,279
14,8873,1288,10496,26238,COLEGIO VILLA MARIA ACADEMY,INSTITUTO ABDON CIFUENTES,ESCUELA INDUSTRIAL LAS NIEVES,COLEGIO DEL VERBO DIVINO DE CHICUREO,LAS CONDES,SAN FELIPE,PUENTE ALTO,COLINA,Particular Pagado,Particular Pagado,Particular Subvencionado,Particular Pagado,0.85782766196488,0.148139811958813,0.234265182544437,0.447997728598057,426,217,421,201
15,24979,13574,12033,1788,COLEGIO LOS ALERCES,COLEGIO CERVANTES,LICEO BICENTENARIO DE EXCELENCIA INDUSTRIAL METODISTA DE CORONEL,THE MACKAY SCHOOL,LO BARNECHEA,LA SERENA,CORONEL,VIÑA DEL MAR,Particular Pagado,Particular Pagado,Particular Subvencionado,Particular Pagado,0.852423435312636,0.147235789156816,0.2325538492654,0.446724690372983,247,95,269,209
16,7414,11034,4535,8885,LICEO ALIANZA FRANCESA CLAUDE GAY,LICEO JORGE ALESSANDRI RODRÍGUEZ,LICEO INDUSTRIAL DE CONCEPCION,COLEGIO REDLAND SCHOOL,OSORNO,TIERRA AMARILLA,CONCEPCIÓN,LAS CONDES,Particular Pagado,Servicio Local de Educacion,Administracion Delegada,Particular Pagado,0.840416300789871,0.146841894329445,0.22921175901409,0.444451072502374,129,98,159,189
17,8867,8966,22140,1776,COLEGIO SAN FRANCISCO DE ASIS,COLEGIO SAINT GABRIEL´S SCHOOL LOCAL SEDE,LICEO BICENTENARIO INGENIERO RICARDO FENNER RUEDI,SAINT PETER´S SCHOOL,LAS CONDES,PROVIDENCIA,LA UNIÓN,VIÑA DEL MAR,Particular Pagado,Particular Pagado,Particular Subvencionado,Particular Pagado,0.809109206433418,0.146098509142148,0.228317462536732,0.444367795635465,226,422,180,75
18,8878,11176,2123,15521,COLEGIO DEL SAGRADO CORAZON DE APOQUINDO,COLEGIO CHAMPAGNAT,INSTITUTO TECNOLOGICO MINERO BERNARDO OHIGGINS,COLEGIO INGLES SAINT JOHN,LAS CONDES,VILLA ALEMANA,RANCAGUA,RANCAGUA,Particular Pagado,Particular Pagado,Corporacion Municipal,Particular Pagado,0.807533311475875,0.141127699174436,0.22806283027816,0.433270999949723,250,400,221,198
19,361,12885,10453,24314,COL. THE ANTOFAGASTA BRITISH SCHOOL,COLEGIO SAN AGUSTIN,LICEO IND. MUNICIPALIZADO A N_ 116,COLEGIO CRUZ DEL SUR,ANTOFAGASTA,ANTOFAGASTA,PUENTE ALTO,PUNTA ARENAS,Particular Pagado,Particular Subvencionado,Corporacion Municipal,Particular Pagado,0.802201469249807,0.140927271785262,0.224231435051998,0.432046201202334,200,411,210,66
20,11968,10666,1590,8822,COLEGIO CUMBRES,LICEO POLIVALENTE GREGORIO MORALES MIRANDA,COLEGIO SALESIANO VALPARAISO,LICEO JUAN PABLO II DE LAS CONDES,LAS CONDES,PAINE,VALPARAÍSO,LAS CONDES,Particular Pagado,Municipal DAEM,Particular Subvencionado,Corporacion Municipal,0.795446157484998,0.140193501833566,0.222782769221273,0.424185281908173,457,213,673,119
21,8995,8953,9579,9249,COLEGIO SANTIAGO COLLEGE,COLEGIO HUELEN,LICEO INDUSTRIAL DE SAN MIGUEL AGUSTIN ED,COLEGIO SAINT GASPAR COLLEGE,LO BARNECHEA,VITACURA,SAN JOAQUÍN,ÑUÑOA,Particular Pagado,Particular Pagado,Administracion Delegada,Particular Pagado,0.792250005473666,0.139234270835189,0.222130319313907,0.424065874201114,411,198,266,188
22,25654,12970,2103,9051,COLEGIO EVEREST,NORTH COLLEGE,LICEO BICENTENARIO INDUSTRIAL PRESIDENTE PEDRO AGUIRRE,COLEGIO ANDREE ENGLISH SCHOOL,LO BARNECHEA,ANTOFAGASTA,RANCAGUA,LA REINA,Particular Pagado,Particular Subvencionado,Administracion Delegada,Particular Pagado,0.787473123580363,0.138518408120619,0.219556761630905,0.421377265106955,531,153,521,488
23,5266,10699,12062,7435,COLEGIO SAN JOSE,LICEO REPUBLICA DE GRECIA,LICEO MAURICIO HOCHSCHILD,COLEGIO ALEMAN,ANGOL,TALAGANTE,SAN PEDRO DE LA PAZ,PUERTO VARAS,Particular Pagado,Corporacion Municipal,Particular Subvencionado,Particular Pagado,0.784533432076128,0.13842577826165,0.21944037518296,0.416413353605973,106,150,566,188
