cohort_gr8,outcome,n_nonmissing,mean
2017,entered_and_persist_continuous_through_y2,238468,0.2693149604978446
2017,entered_and_persist_continuous_through_y3,238468,0.25706593756814333
2017,entered_and_persist_y1,238468,0.2869986748746163
2017,entered_and_persist_y2,238468,0.2769302380193569
2017,entered_and_persist_y3,238468,0.27182263448345273
2017,he_enrolled_entry,238468,0.314608249324857
2017,he_enrolled_y1,238468,0.4546186490430582
2017,he_enrolled_y2,238468,0.48843870037069964
2017,he_enrolled_y3,238468,0.4998909706962779
2017,high_premium_field_y1,238468,0.06061609943472499
2017,high_premium_field_y2,238468,0.06320764211550396
2017,high_premium_field_y3,238468,0.06428535484844927
2017,high_premium_institution_y1,238468,0.10598067665263264
2017,high_premium_institution_y2,238468,0.10514198970092423
2017,high_premium_institution_y3,238468,0.10346461579750742
2017,persist_continuous_through_y2,75024,0.8560327361910856
2017,persist_continuous_through_y3,75024,0.8170985284708893
2017,persist_from_entry_y1,75024,0.9122414160801877
2017,persist_from_entry_y2,75024,0.8802383237364043
2017,persist_from_entry_y3,75024,0.8640035188739603
2017,remain_high_premium_field_continuous_through_y2,10697,0.7328222866224176
2017,remain_high_premium_field_continuous_through_y3,10697,0.6897260914275031
2017,remain_high_premium_field_y1,10697,0.8177993830045808
2017,remain_high_premium_field_y2,10697,0.746844909787791
2017,remain_high_premium_field_y3,10697,0.7109469944844349
2017,remain_high_premium_institution_continuous_through_y2,20194,0.8316331583638704
2017,remain_high_premium_institution_continuous_through_y3,20194,0.7969693968505497
2017,remain_high_premium_institution_y1,20194,0.8958106368228187
2017,remain_high_premium_institution_y2,20194,0.8426760423888283
2017,remain_high_premium_institution_y3,20194,0.8191542042190749
2017,same_area_generica_continuous_through_y2,75024,0.7354579867775645
2017,same_area_generica_continuous_through_y3,75024,0.684847515461719
2017,same_area_generica_y1,75024,0.8287481339304755
2017,same_area_generica_y2,75024,0.7424824056301983
2017,same_area_generica_y3,75024,0.6976700789080827
2017,same_institution_continuous_through_y2,75024,0.7749520153550864
2017,same_institution_continuous_through_y3,75024,0.728913414374067
2017,same_institution_y1,75024,0.8496747707400298
2017,same_institution_y2,75024,0.7832426956707187
2017,same_institution_y3,75024,0.7439619321817018
2017,same_program_continuous_through_y2,75024,0.6830480912774579
