field_reclassified_m1,raw_field_reclassified_m1,n_area_carrera_generica_in_field,rank_group,rank_within_field,area_carrera_generica,program_fe_log_clp_centered,program_fe_percent_vs_center,program_fe_log_clp_raw,n_matriculated_students,n_area_fe_estimable_students,area_only_income_hat_clp_weighted,area_only_log_income_hat_clp_weighted,dominant_field_n_students,dominant_field_share_within_area,field_reclassified_distribution
Business,Business,20,top_3_within_field,1,INGENIERIA COMERCIAL,0.290316944090958,33.6851127952335,0.197336515380771,26734,26734,1783653.66155554,14.3879693810838,26734,1,Business (100.0%)
Business,Business,20,top_3_within_field,2,INGENIERIA EN CONTROL DE GESTION,0.27558119268753,31.7296055263964,0.182600763977343,2330,2330,1885911.23174446,14.4437166178322,2330,1,Business (100.0%)
Business,Business,20,top_3_within_field,3,INGENIERIA EN LOGISTICA,0.217459128661698,24.2914628885316,0.124478699951511,3100,3100,1556398.4690266,14.2516799801368,3100,1,Business (100.0%)
Business,Business,20,bottom_3_within_field,1,TECNICO EN RELACIONES PUBLICAS,-0.226284008991282,-20.250842527834,-0.319264437701469,18,18,955913.130157587,13.7642172635767,18,1,Business (100.0%)
Business,Business,20,bottom_3_within_field,2,TECNICO EN ADMINISTRACION DE EMPRESAS,-0.21835003700815,-19.6155982739866,-0.311330465718337,7806,7806,1001177.68022578,13.8104824889766,7806,1,Business (100.0%)
Business,Business,20,bottom_3_within_field,3,TECNICO EN ADMINISTRACION DE RECURSOS HUMANOS Y PERSONAL,-0.180832524117829,-16.5424881803552,-0.273812952828016,401,401,1015074.32563433,13.8242673387109,401,1,Business (100.0%)
"Engineering, Manufacturing and Construction","Engineering, Manufacturing and Construction",45,top_3_within_field,1,INGENIERIA CIVIL METALURGICA,0.869699022566307,138.619255532233,0.776718593856121,1152,1152,3271369.31664886,14.9945141501983,1152,1,"Engineering, Manufacturing and Construction (100.0%)"
"Engineering, Manufacturing and Construction","Engineering, Manufacturing and Construction",45,top_3_within_field,2,INGENIERIA CIVIL EN MINAS,0.840771744210124,131.815530956292,0.747791315499937,3814,3814,3212636.29902896,14.9763973787068,3814,1,"Engineering, Manufacturing and Construction (100.0%)"
"Engineering, Manufacturing and Construction","Engineering, Manufacturing and Construction",45,top_3_within_field,3,INGENIERIA CIVIL ELECTRICA,0.662045650461072,93.8754294243838,0.569065221750886,2510,2510,2634199.53501097,14.777884855735,2510,1,"Engineering, Manufacturing and Construction (100.0%)"
"Engineering, Manufacturing and Construction","Engineering, Manufacturing and Construction",45,bottom_3_within_field,1,TECNICO EN SONIDO,-0.463431803215047,-37.0879082586134,-0.556412231925233,505,505,754668.260650727,13.5278284855125,505,1,"Engineering, Manufacturing and Construction (100.0%)"
"Engineering, Manufacturing and Construction","Engineering, Manufacturing and Construction",45,bottom_3_within_field,2,TECNICO EN ALIMENTOS,-0.279284316345964,-24.367516287096,-0.372264745056151,180,180,904203.298953529,13.7086044460216,180,1,"Engineering, Manufacturing and Construction (100.0%)"
"Engineering, Manufacturing and Construction","Engineering, Manufacturing and Construction",45,bottom_3_within_field,3,TECNICO EN DIBUJO ARQUITECTONICO,-0.227043025150818,-20.3113504609104,-0.320023453861005,422,422,955913.130157589,13.7642172635767,422,1,"Engineering, Manufacturing and Construction (100.0%)"
Humanities and Arts,Humanities and Arts,15,top_3_within_field,1,FOTOGRAFIA,0.0929804287101852,9.74402567365824,-1.35084220367116e-15,127,127,955913.130157574,13.7642172635767,127,1,Humanities and Arts (100.0%)
Humanities and Arts,Humanities and Arts,15,top_3_within_field,2,DISENO,-0.0717508290684465,-6.92372140497044,-0.164731257778633,3759,3759,1382963.40023952,14.1335340899696,3759,1,Humanities and Arts (100.0%)
Humanities and Arts,Humanities and Arts,15,top_3_within_field,3,COMUNICACION AUDIOVISUAL Y O MULTIMEDIA,-0.165600423553505,-15.2615238457052,-0.258580852263691,1920,1920,1146130.2977352,13.9456968113509,1920,1,Humanities and Arts (100.0%)
Humanities and Arts,Humanities and Arts,15,bottom_3_within_field,1,TECNICO EN TRADUCCION E INTERPRETARIADO,-0.42343076959655,-34.5203494076418,-0.516411198306736,157,157,855290.695404157,13.6529916284665,157,1,Humanities and Arts (100.0%)
Humanities and Arts,Humanities and Arts,15,bottom_3_within_field,2,ARTES Y LICENCIATURA EN ARTES,-0.39693769077738,-32.762408045169,-0.489918119487567,2148,2148,1021869.78079262,13.8309395692814,2148,1,Humanities and Arts (100.0%)
Humanities and Arts,Humanities and Arts,15,bottom_3_within_field,3,TECNICO EN PRODUCCION GRAFICA Y MULTIMEDIA,-0.394813164086719,-32.6194081366712,-0.487793592796906,561,561,855290.695404167,13.6529916284665,561,1,Humanities and Arts (100.0%)
Law,Law,2,top_3_within_field,1,DERECHO,0.346202847593612,41.3689350217809,0.253222418883425,26871,26871,1905122.28793123,14.4538517013303,26871,1,Law (100.0%)
Law,Law,2,top_3_within_field,2,TECNICO JURIDICO,-0.277719780173324,-24.2490939166154,-0.37070020888351,790,790,904203.298953521,13.7086044460216,790,1,Law (100.0%)
