COD_SIES,enrollment_measure,n_students,example_mruns,year_info,TIPO_INST_1,NOMB_INST,COD_INST,AREA_CARRERA_GENERICA,NOMB_CARRERA_examples,program_info_found,mifuturo_fe_level_supported,mifuturo_area_level_supported,mifuturo_area_estimable,mifuturo_institution_level_supported,mifuturo_institution_estimable,mifuturo_fe_income_source
I86S5C301J1V1,first_enrollment,1460,28994 | 31686 | 42230 | 45195 | 64664 | 69218 | 111516 | 131355 | 135004 | 145916,2025,Universidades,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,86,Bachillerato y/o Licenciatura en Ciencias Básicas,COLLEGE CIENCIAS NATURALES Y MATEMATICAS (LICENCIATURA),TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,matriculated_fe_unsupported_levels
I86S5C300J1V1,first_enrollment,1152,6498 | 11920 | 17233 | 22186 | 50328 | 126658 | 138375 | 141500 | 150805 | 166520,2023,Universidades,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,86,Bachillerato y/o Licenciatura en Ciencias Sociales,COLLEGE CIENCIAS SOCIALES (LICENCIATURA),TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,matriculated_fe_unsupported_levels
I70S1C184J1V1,first_enrollment,1077,53262 | 78121 | 85788 | 95206 | 137179 | 179519 | 181039 | 183864 | 188324 | 281460,2024,Universidades,UNIVERSIDAD DE CHILE,70,Bachillerato y/o Licenciatura en Ciencias Básicas,PROGRAMA ACADEMICO DE BACHILLERATO,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,matriculated_fe_unsupported_levels
I895S1C24J1V1,first_enrollment,958,534 | 73475 | 74742 | 98310 | 108510 | 125255 | 143176 | 176544 | 209934 | 211797,2025,Universidades,UNIVERSIDAD DE O'HIGGINS,895,"Ingeniería Civil, plan común y licenciatura en Ciencias de la Ingeniería",INGENIERIA CIVIL CON ESPECIALIDAD | INGENIERIA CIVIL,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,matriculated_fe_unsupported_levels
I104S1C1J1V1,first_enrollment,730,51284 | 63908 | 110854 | 167215 | 167757 | 171402 | 174076 | 174968 | 179366 | 186416,2025,Institutos Profesionales,IP ESCUELA DE CONTADORES AUDITORES DE SANTIAGO,104,Contador Auditor,CONTADOR AUDITOR,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,matriculated_fe_unsupported_levels
I100S19C307J1V1,first_enrollment,644,11818 | 104409 | 240297 | 249994 | 255582 | 267816 | 318995 | 335454 | 368217 | 375103,2025,Institutos Profesionales,IP INACAP,100,Administración Gastronómica,ADMINISTRACION GASTRONOMICA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,matriculated_fe_unsupported_levels
I71S1C4J1V1,first_enrollment,604,26088 | 32211 | 70570 | 74656 | 86967 | 98429 | 150076 | 235343 | 353759 | 403680,2022,Universidades,UNIVERSIDAD DE SANTIAGO DE CHILE,71,Bachillerato y/o Licenciatura en Ciencias Básicas,BACHILLERATO EN CIENCIAS Y HUMANIDADES,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,matriculated_fe_unsupported_levels
I111S5C48J1V1,first_enrollment,532,9239 | 144034 | 162515 | 183914 | 193314 | 242255 | 298848 | 352465 | 527883 | 608269,2024,Institutos Profesionales,IP DUOC UC,111,Ingeniería en Computación e Informática,INGENIERIA EN INFORMATICA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,matriculated_fe_unsupported_levels
I895S1C2J1V1,first_enrollment,516,51194 | 100002 | 259274 | 269730 | 286437 | 295947 | 298488 | 344500 | 355791 | 404874,2025,Universidades,UNIVERSIDAD DE O'HIGGINS,895,Enfermería,ENFERMERIA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,matriculated_fe_unsupported_levels
I111S16C22J1V1,first_enrollment,516,142047 | 163203 | 294140 | 333253 | 354977 | 362587 | 413773 | 435046 | 568447 | 609055,2025,Institutos Profesionales,IP DUOC UC,111,Ingeniería en Mecánica Automotriz,INGENIERIA EN MECANICA AUTOMOTRIZ Y AUTOTRONICA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,matriculated_fe_unsupported_levels
I94S1C190J1V2,first_enrollment,464,65461 | 92000 | 116271 | 117464 | 148909 | 154617 | 172674 | 206061 | 292587 | 342996,2024,Universidades,UNIVERSIDAD CATOLICA DE TEMUCO,94,Bachillerato y/o Licenciatura en Ciencias Básicas,BACHILLER EN CIENCIAS Y HUMANIDADES,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,matriculated_fe_unsupported_levels
I111S4C48J1V1,first_enrollment,455,42597 | 95582 | 147671 | 150966 | 198884 | 277007 | 303792 | 356091 | 376701 | 404467,2024,Institutos Profesionales,IP DUOC UC,111,Ingeniería en Computación e Informática,INGENIERIA EN INFORMATICA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,matriculated_fe_unsupported_levels
