field_reclassified_m1,n_students,n_matriculated_m1,n_matriculated_with_area,share_students,share_matriculated_m1
"Engineering, Manufacturing and Construction",142743,142743,142743,0.119152875418829,0.227244578100349
Medicine,134302,134302,134302,0.1121068597024,0.213806640802233
Business,77919,77918,77918,0.0650418787594471,0.124044212580813
Science,55563,55563,55563,0.0463804965350064,0.088455409322977
(missing),621689,51855,51855,0.518946862306779,0.0825523324954191
Teaching,44594,44594,44594,0.0372242654731039,0.0709929363668059
Social Sciences,37002,37002,37002,0.0308869415400231,0.0589065935203066
Humanities and Arts,31081,31081,31081,0.0259444632724031,0.049480456007909
Law,28322,28322,28322,0.0236414236607896,0.0450881720361635
Health and Welfare,24767,24767,24767,0.0206739333312187,0.0394286687670243
