rank_high,cod_inst,tipo_inst,nomb_inst,institution_fe_log_clp_raw,institution_fe_log_clp_centered,institution_fe_percent_vs_center,n_mifuturo_rows,n_observed_income_rows,n_prediction_estimable_rows
1,23,UNIVERSIDADES,UNIVERSIDAD ADOLFO IBANEZ,0.123987913284768,0.253354438306786,28.8339832908311,8,6,7
2,162,INSITUTOS PROFESIONALES,IP SAN SEBASTIAN,0.10027786297809,0.229644388000108,25.8152516234663,4,2,4
3,117,INSITUTOS PROFESIONALES,IP IACC,0.0985165272067005,0.227883052228718,25.5938437642262,16,2,15
4,193,INSITUTOS PROFESIONALES,IP INSTITUTO NACIONAL DEL FUTBOL,0.0751611532344463,0.204527678256464,22.6945415085657,1,1,1
5,70,UNIVERSIDADES,UNIVERSIDAD DE CHILE,0.0678302272394764,0.197196752261494,21.7983658171704,49,39,44
6,34,UNIVERSIDADES,UNIVERSIDAD DE LOS ANDES,0.0662854106875711,0.195651935709589,21.6103549442053,21,14,21
7,86,UNIVERSIDADES,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,0.0634833114578241,0.192849836479842,21.2700676443318,41,28,36
8,152,INSITUTOS PROFESIONALES,IP LATINOAMERICANO DE COMERCIO EXTERIOR IPLACEX,0.0501653001793592,0.179531825201377,19.6656987311074,14,7,13
9,730,CENTROS DE FORMACION TECNICA,CFT ESCUELA CULINARIA FRANCESA,0.0422345905744871,0.171601115596505,18.7204181522277,1,1,1
10,26,UNIVERSIDADES,UNIVERSIDAD DE ARTES CIENCIAS Y COMUNICACION UNIACC,0.0145175143906451,0.143884039412663,15.4750195249864,8,1,6
11,1,UNIVERSIDADES,UNIVERSIDAD GABRIELA MISTRAL,0,0.129366525022018,13.8107192491861,2,2,2
12,45,UNIVERSIDADES,UNIVERSIDAD DEL DESARROLLO,-0.00369504449423861,0.125671480527779,13.3909595705775,23,17,23
13,257,CENTROS DE FORMACION TECNICA,CFT JUAN BOHON,-0.00614010491667119,0.123226420105347,13.11405049074,5,1,5
14,91,UNIVERSIDADES,UNIVERSIDAD CATOLICA DEL NORTE,-0.00793580267306084,0.121430722348957,12.9111141047953,24,16,23
15,73,UNIVERSIDADES,UNIVERSIDAD DE ANTOFAGASTA,-0.00925975109682422,0.120106773925194,12.7617245271202,22,13,22
16,88,UNIVERSIDADES,UNIVERSIDAD TECNICA FEDERICO SANTA MARIA,-0.0135290548137826,0.115837470208235,12.2813366679692,36,24,30
17,79,UNIVERSIDADES,UNIVERSIDAD DE ATACAMA,-0.0145903642119025,0.114776160810115,12.1622346433586,21,9,21
18,2,UNIVERSIDADES,UNIVERSIDAD FINIS TERRAE,-0.0168928138450746,0.112473711176943,11.9042838206924,16,10,16
19,71,UNIVERSIDADES,UNIVERSIDAD DE SANTIAGO DE CHILE,-0.0250694442243097,0.104297080797708,10.9930144873719,48,39,46
20,3,UNIVERSIDADES,UNIVERSIDAD DIEGO PORTALES,-0.0329861773746969,0.0963803476473209,10.1177814744619,33,23,32
21,17,UNIVERSIDADES,UNIVERSIDAD SEK,-0.0388004195371215,0.0905661054848964,9.47938771297194,4,4,4
22,85,UNIVERSIDADES,UNIVERSIDAD TECNOLOGICA METROPOLITANA,-0.0506771488584709,0.078689376163547,8.18682158159767,20,13,18
23,176,INSITUTOS PROFESIONALES,IP DEL VALLE CENTRAL,-0.0565012054415409,0.0728653195804769,7.55856668304988,9,5,9
24,82,UNIVERSIDADES,UNIVERSIDAD METROPOLITANA DE CIENCIAS DE LA EDUCACION,-0.072940056779529,0.0564264682424889,5.80488117511031,12,10,11
25,676,INSITUTOS PROFESIONALES,IP INSTITUTO INTERNACIONAL DE ARTES CULINARIAS Y SERVICIOS,-0.0776578163365312,0.0517087086854867,5.30689479941104,1,1,1
26,312,CENTROS DE FORMACION TECNICA,CFT CENCO,-0.0789778986917509,0.0503886263302669,5.16797274015692,2,1,2
27,72,UNIVERSIDADES,UNIVERSIDAD DE VALPARAISO,-0.0812690066431103,0.0480975183789076,4.9272973734857,30,22,28
28,10,UNIVERSIDADES,UNIVERSIDAD MAYOR,-0.0893384185958013,0.0400281064262166,4.08400280747276,34,23,32
29,77,UNIVERSIDADES,UNIVERSIDAD DE MAGALLANES,-0.0895789402859507,0.0397875847360672,4.05897135762399,10,2,10
30,4,UNIVERSIDADES,UNIVERSIDAD CENTRAL DE CHILE,-0.0896410490477376,0.0397254759742802,4.05250858445962,24,19,24
31,104,INSITUTOS PROFESIONALES,IP ESCUELA DE CONTADORES AUDITORES DE SANTIAGO,-0.0980314887273949,0.031335036294623,3.18311468659405,2,2,2
32,11,UNIVERSIDADES,UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,-0.102781124483293,0.0265854005387249,2.69419449122503,8,4,7
33,87,UNIVERSIDADES,UNIVERSIDAD DE CONCEPCION,-0.10494297180478,0.0244235532172374,2.47242512405952,50,44,50
34,456,CENTROS DE FORMACION TECNICA,CFT CEDUC UCN,-0.109141010077858,0.0202255149441603,2.04314366191192,13,7,12
