enrollment_measure,match_key_name,match_key,student_rows,cod_sies,matricula_titles,matricula_generic_areas,mifuturo_rows_for_key,mifuturo_rows_with_income_for_key,example_cod_sies,example_matricula_titles,mifuturo_example_titles
first_ingreso,inst_type_generic,143 || INSTITUTOS PROFESIONALES || IP AIEP || TECNICO EN ENFERMERIA,13707,122,15,1,,,I143S27C34J2V1 | I143S0C34J2V1 | I143S26C69J1V1 | I143S23C53J2V1 | I143S15C70J1V1 | I143S6C34J1V1 | I143S20C34J2V2 | I143S0C53J1V1,TECNICO EN ENFERMERIA | TECNICO EN ENFERMERIA MENCION URGENCIA | TECNICO EN ENFERMERIA E INSTRUMENTACION QUIRURGICA | TECNICO EN ENFERMERIA MENCION EN PEDIATRIA | TECNICO EN ENFERMERIA MENCION EN URGENCIA | TECNICO EN ENFERMERIA MENCION ANESTESIOLOGIA | TECNICO EN ENFERMERIA CON MENCION EN GINECOBSTETRICIA | TECNICO EN ENFERMERIA MENCION EN GINECOBSTETRICIA,
first_ingreso,inst_type_generic,260 || CENTROS DE FORMACION TECNICA || CFT SANTO TOMAS || TECNICO EN ENFERMERIA,13072,43,4,1,1,1,I260S21C47J2V1 | I260S3C47J1V1 | I260S47C47J1V1 | I260S1C47J1V1 | I260S43C316J1V1 | I260S47C118J1V1 | I260S21C47J1V1 | I260S42C118J1V1,TECNICO EN ENFERMERIA | TECNICO EN ENFERMERIA MENCION TERAPIAS COMPLEMENTARIAS | TECNICO EN ENFERMERIA GINECO-OBSTETRICA Y NEONATAL | TECNICO EN ENFERMERIA Y PROCEDIMIENTOS DE APOYO A LA REHABILITACION,Técnico en Enfermería
first_ingreso,inst_type_generic,430 || CENTROS DE FORMACION TECNICA || CFT INACAP || TECNICO EN MECANICA AUTOMOTRIZ,12481,60,2,1,1,1,I430S28C326J1V1 | I430S37C326J1V1 | I430S27C135J1V1 | I430S30C326J1V1 | I430S1C135J2V1 | I430S26C326J1V1 | I430S16C326J1V1 | I430S37C326J2V1,TECNICO EN MECANICA Y ELECTROMOVILIDAD AUTOMOTRIZ | MECANICA AUTOMOTRIZ EN MAQUINARIA PESADA,Técnico en Mecánica Automotriz
first_ingreso,inst_type_generic,430 || CENTROS DE FORMACION TECNICA || CFT INACAP || TECNICO EN GASTRONOMIA Y COCINA,11729,41,2,1,1,1,I430S9C330J1V1 | I430S22C330J1V1 | I430S3C330J1V1 | I430S14C330J1V1 | I430S26C330J1V1 | I430S37C330J1V1 | I430S12C330J1V1 | I430S27C330J2V1,GASTRONOMIA | GASTRONOMIA INTERNACIONAL,Técnico en Gastronomía Internacional y Gastronomía
first_ingreso,inst_type_generic,111 || INSTITUTOS PROFESIONALES || IP DUOC UC || INGENIERIA EN COMPUTACION E INFORMATICA,11037,38,2,1,,,I111S2C48J2V1 | I111S25C48J1V1 | I111S7C48J1V1 | I111S15C48J1V1 | I111S5C361J2V2 | I111S5C48J1V1 | I111S15C361J2V1 | I111S6C48J1V1,INGENIERIA EN INFORMATICA | INGENIERIA EN INFRAESTRUCTURA Y PLATAFORMAS TECNOLOGICAS,
first_ingreso,inst_type_generic,100 || INSTITUTOS PROFESIONALES || IP INACAP || INGENIERIA EN MECANICA AUTOMOTRIZ,10029,51,2,1,,,I100S32C304J1V1 | I100S20C304J1V1 | I100S41C160J1V1 | I100S31C304J1V1 | I100S38C304J1V1 | I100S33C304J1V1 | I100S37C304J1V1 | I100S30C304J1V1,INGENIERIA EN MECANICA Y ELECTROMOVILIDAD AUTOMOTRIZ | INGENIERIA EN MAQUINARIA PESADA Y VEHICULOS AUTOMOTRICES,
first_ingreso,inst_type_generic,430 || CENTROS DE FORMACION TECNICA || CFT INACAP || TECNICO EN ADMINISTRACION DE EMPRESAS,8397,68,2,1,1,1,I430S2C201J2V1 | I430S24C201J2V1 | I430S14C201J1V1 | I430S28C201J2V1 | I430S12C201J1V1 | I430S4C201J2V1 | I430S15C201J2V1 | I430S12C201J2V1,ADMINISTRACION DE EMPRESAS | TECNICO EN ADMINISTRACION DE EMPRESAS FINANCIERAS,Técnico en Administración de Empresas
first_ingreso,inst_type_generic,111 || INSTITUTOS PROFESIONALES || IP DUOC UC || INGENIERIA EN MECANICA AUTOMOTRIZ,7623,32,2,1,,,I111S2C22J1V1 | I111S25C363J1V1 | I111S15C22J1V1 | I111S16C22J1V1 | I111S2C22J2V1 | I111S15C22J2V1 | I111S15C363J1V1 | I111S12C22J1V1,INGENIERIA EN MECANICA AUTOMOTRIZ Y AUTOTRONICA | INGENIERIA EN MAQUINARIA Y VEHICULOS PESADOS,
first_ingreso,inst_type_generic,430 || CENTROS DE FORMACION TECNICA || CFT INACAP || TECNICO EN COMPUTACION E INFORMATICA,7115,49,1,1,1,1,I430S23C42J2V2 | I430S16C42J1V2 | I430S22C42J1V2 | I430S29C42J1V2 | I430S37C42J2V3 | I430S37C42J1V3 | I430S39C42J2V1 | I430S12C42J1V2,ANALISTA PROGRAMADOR,Técnico Analista Programador
first_ingreso,inst_type_generic,143 || INSTITUTOS PROFESIONALES || IP AIEP || TECNICO EN ADMINISTRACION DE EMPRESAS,7061,58,4,1,,,I143S28C117J4V1 | I143S5C651J2V1 | I143S31C651J2V1 | I143S13C651J2V1 | I143S28C651J4V1 | I143S2C651J2V1 | I143S28C118J4V1 | I143S15C651J1V1,TECNICO EN ADMINISTRACION DE EMPRESAS MENCION MARKETING | TECNICO EN ADMINISTRACION DE EMPRESAS | TECNICO EN ADMINISTRACION DE EMPRESAS MENCION RECURSOS HUMANOS | TECNICO EN ADMINISTRACION DE EMPRESAS MENCION FINANZAS,
first_ingreso,inst_type_generic,260 || CENTROS DE FORMACION TECNICA || CFT SANTO TOMAS || TECNICO EN DEPORTE RECREACION Y PREPARACION FISICA,6576,28,2,1,1,1,I260S22C108J1V1 | I260S34C108J1V1 | I260S25C108J1V1 | I260S41C108J1V1 | I260S45C108J2V1 | I260S50C108J1V1 | I260S45C282J1V1 | I260S45C108J1V1,PREPARADOR FISICO | TECNICO EN DEPORTES,Preparador Físico y Técnico en Deportes
first_ingreso,inst_type_generic,430 || CENTROS DE FORMACION TECNICA || CFT INACAP || TECNICO EN ENFERMERIA,6069,16,1,1,1,1,I430S22C39J1V2 | I430S26C39J1V2 | I430S23C39J1V2 | I430S27C39J1V2 | I430S15C39J1V2 | I430S5C39J1V2 | I430S24C39J1V2 | I430S20C39J1V2,TECNICO EN ENFERMERIA,Técnico en Enfermería
first_ingreso,inst_type_generic,111 || INSTITUTOS PROFESIONALES || IP DUOC UC || TECNICO EN ENFERMERIA,5782,13,1,1,,,I111S16C85J1V1 | I111S20C85J1V1 | I111S12C85J1V1 | I111S6C85J1V1 | I111S3C85J1V1 | I111S2C85J1V1 | I111S23C85J1V1 | I111S3C85J2V1,TECNICO DE ENFERMERIA,
first_ingreso,inst_type_generic,116 || INSTITUTOS PROFESIONALES || IP SANTO TOMAS || TRABAJO SOCIAL,5754,30,1,1,,,I116S10C4J2V1 | I116S4C4J2V1 | I116S34C4J2V1 | I116S15C4J2V1 | I116S32C4J2V1 | I116S6C4J1V1 | I116S2C4J1V1 | I116S6C4J2V1,SERVICIO SOCIAL,
first_ingreso,inst_type_generic,100 || INSTITUTOS PROFESIONALES || IP INACAP || INGENIERIA EN COMPUTACION E INFORMATICA,5703,43,1,1,,,I100S29C302J1V1 | I100S14C302J1V1 | I100S38C302J1V1 | I100S9C302J1V1 | I100S4C302J1V1 | I100S31C302J2V1 | I100S42C302J2V1 | I100S20C302J1V1,INGENIERIA EN INFORMATICA,
first_ingreso,inst_type_generic,143 || INSTITUTOS PROFESIONALES || IP AIEP || TECNICO EN PELUQUERIA Y ESTETICA,5526,60,4,1,,,I143S17C59J1V1 | I143S13C59J1V1 | I143S22C72J1V1 | I143S25C59J2V1 | I143S20C59J1V1 | I143S13C72J1V1 | I143S26C72J1V1 | I143S13C59J2V1,TECNICO EN COSMETOLOGIA | COSMETOLOGIA | TECNICO EN PELUQUERIA | PELUQUERIA,
first_ingreso,inst_type_generic,430 || CENTROS DE FORMACION TECNICA || CFT INACAP || TECNICO EN ELECTRICIDAD Y ELECTRICIDAD INDUSTRIAL,5469,76,2,1,1,1,I430S23C78J1V1 | I430S21C186J1V2 | I430S10C186J2V2 | I430S36C78J2V1 | I430S23C186J1V2 | I430S36C186J2V2 | I430S39C186J2V2 | I430S28C186J2V2,ELECTRICIDAD INDUSTRIAL MENCION INSTALACIONES ELECTRICAS | TECNICO EN ELECTRICIDAD INDUSTRIAL,Técnico en Electricidad Industrial
first_ingreso,inst_type_generic,260 || CENTROS DE FORMACION TECNICA || CFT SANTO TOMAS || TECNICO ASISTENTE DEL EDUCADOR DE PARVULOS,5356,24,1,1,1,1,I260S47C320J2V1 | I260S22C320J1V1 | I260S25C320J1V1 | I260S34C320J1V1 | I260S8C320J1V1 | I260S2C320J2V1 | I260S50C320J1V1 | I260S21C320J1V1,TECNICO EN EDUCACION PARVULARIA 1° Y 2° BASICO,Técnico en Educación Parvularia
first_ingreso,inst_type_generic,100 || INSTITUTOS PROFESIONALES || IP INACAP || ADMINISTRACION DE EMPRESAS E ING ASOCIADAS,5104,62,2,1,,,I100S32C300J1V1 | I100S30C300J1V1 | I100S23C300J2V1 | I100S37C300J1V1 | I100S32C300J2V1 | I100S24C300J1V1 | I100S32C308J1V1 | I100S14C300J1V1,INGENIERIA EN ADMINISTRACION DE EMPRESAS | INGENIERIA EN ADMINISTRACION DE EMPRESAS FINANCIERAS,
first_ingreso,inst_type_generic,111 || INSTITUTOS PROFESIONALES || IP DUOC UC || TECNICO EN MECANICA AUTOMOTRIZ,4826,20,1,1,,,I111S16C58J1V1 | I111S2C58J2V1 | I111S12C58J2V1 | I111S26C58J1V1 | I111S23C58J1V1 | I111S2C58J1V1 | I111S15C58J1V1 | I111S16C58J2V1,TECNICO EN MECANICA AUTOMOTRIZ Y AUTOTRONICA,
first_ingreso,inst_type_generic,143 || INSTITUTOS PROFESIONALES || IP AIEP || ADMINISTRACION DE EMPRESAS E ING ASOCIADAS,4750,63,5,1,,,I143S28C95J4V1 | I143S28C111J4V1 | I143S28C113J4V1 | I143S22C95J2V1 | I143S30C95J2V2 | I143S6C95J1V1 | I143S12C95J2V1 | I143S9C95J2V1,INGENIERIA EN ADMINISTRACION DE EMPRESAS | INGENIERIA DE EJECUCION EN ADMINISTRACION DE EMPRESAS MENCION FINANZAS | INGENIERIA DE EJECUCION EN ADMINISTRACION DE EMPRESAS MENCION RECURSOS HUMANOS | INGENIERIA DE EJECUCION EN ADMINISTRACION DE EMPRESAS MENCION MARKETING | INGENIERIA EN NEGOCIOS ELECTRONICOS,
first_ingreso,inst_type_generic,111 || INSTITUTOS PROFESIONALES || IP DUOC UC || INGENIERIA EN LOGISTICA,4685,28,2,1,,,I111S9C145J1V1 | I111S5C145J1V1 | I111S12C145J1V1 | I111S15C145J2V2 | I111S9C145J2V1 | I111S10C145J1V1 | I111S7C145J1V1 | I111S20C145J2V1,INGENIERIA EN GESTION LOGISTICA | INGENIERIA EN GESTION LOGISTICA PEV,
first_ingreso,inst_type_generic,100 || INSTITUTOS PROFESIONALES || IP INACAP || CONSTRUCCION CIVIL,4410,39,1,1,,,I100S34C176J1V1 | I100S37C176J1V1 | I100S31C176J1V1 | I100S24C176J2V1 | I100S41C176J1V1 | I100S40C176J1V1 | I100S26C176J1V1 | I100S9C176J1V1,CONSTRUCCION CIVIL,
first_ingreso,inst_type_generic,117 || INSTITUTOS PROFESIONALES || IP IACC || INGENIERIA INDUSTRIAL,4381,2,1,1,,,I117S1C67J4V1 | I117S1C67J4V2,INGENIERIA INDUSTRIAL,
first_ingreso,inst_type_generic,111 || INSTITUTOS PROFESIONALES || IP DUOC UC || INGENIERIA EN CONSTRUCCION,4341,19,1,1,,,I111S7C104J1V2 | I111S3C104J2V2 | I111S15C104J1V2 | I111S20C104J2V2 | I111S15C104J2V2 | I111S2C104J1V2 | I111S12C104J2V2 | I111S7C104J2V2,INGENIERIA EN CONSTRUCCION,
first_ingreso,inst_type_generic,111 || INSTITUTOS PROFESIONALES || IP DUOC UC || TECNICO EN COMPUTACION E INFORMATICA,4298,43,3,1,,,I111S20C23J2V1 | I111S27C23J4V1 | I111S4C23J1V1 | I111S21C23J2V3 | I111S15C23J1V1 | I111S9C23J1V2 | I111S12C23J1V1 | I111S3C23J1V1,ANALISTA PROGRAMADOR COMPUTACIONAL | DESARROLLO DE APLICACIONES | ADMINISTRACION EN INFRAESTRUCTURA Y PLATAFORMAS TECNOLOGICAS,
first_ingreso,inst_type_generic,111 || INSTITUTOS PROFESIONALES || IP DUOC UC || INGENIERIA EN ELECTRICIDAD,4125,18,1,1,,,I111S21C413J1V1 | I111S15C413J1V1 | I111S12C413J2V1 | I111S25C413J2V1 | I111S20C413J1V1 | I111S20C413J2V1 | I111S21C413J2V1 | I111S23C413J1V1,INGENIERIA EN ELECTRICIDAD Y AUTOMATIZACION INDUSTRIAL,
first_ingreso,inst_type_generic,111 || INSTITUTOS PROFESIONALES || IP DUOC UC || INGENIERIA EN FINANZAS,4004,29,1,1,,,I111S20C484J2V1 | I111S20C484J1V1 | I111S12C484J1V1 | I111S15C484J1V1 | I111S10C484J2V1 | I111S25C484J1V1 | I111S23C484J1V1 | I111S3C484J1V1,INGENIERIA EN ADMINISTRACION MENCION FINANZAS,
first_ingreso,inst_type_generic,13 || UNIVERSIDADES || UNIVERSIDAD SANTO TOMAS || PSICOLOGIA,3943,18,1,1,1,1,I13S6C6J1V1 | I13S7C6J1V1 | I13S1C6J1V1 | I13S16C6J1V1 | I13S9C6J1V1 | I13S3C6J2V1 | I13S5C6J1V1 | I13S2C6J1V1,PSICOLOGIA,Psicología
first_ingreso,inst_type_generic,111 || INSTITUTOS PROFESIONALES || IP DUOC UC || INGENIERIA EN MARKETING,3910,50,3,1,,,I111S6C513J1V1 | I111S15C513J2V1 | I111S9C513J2V1 | I111S23C513J1V1 | I111S21C486J1V1 | I111S20C513J1V1 | I111S7C513J1V1 | I111S21C513J1V1,INGENIERIA EN MARKETING DIGITAL | INGENIERIA EN ADMINISTRACION MENCION MARKETING | INGENIERIA EN MARKETING,
