program_code,program_name,institution_name,field_group,avg_math_score_z,projected_income_clp,n_entrants,n_entry_years,first_entry_year,last_entry_year,projected_income_millions
I17S1C57J1V1,ENFERMERIA,UNIVERSIDAD SEK,Medicine +,-0.939523335239744,1937432.22472841,19,4,2022,2025,1.93743222472841
I9S1C64J1V1,TECNOLOGIA MEDICA,UNIVERSIDAD DEL ALBA,Medicine +,-0.784881128776372,1607318.96419096,18,4,2022,2025,1.60731896419096
I46S19C56J1V1,ENFERMERIA,UNIVERSIDAD DE ACONCAGUA,Medicine +,-0.763192582006858,1777786.87830108,65,4,2022,2025,1.77778687830108
I9S8C41J1V1,ENFERMERIA,UNIVERSIDAD DEL ALBA,Medicine +,-0.741383878462225,1736636.49168973,87,4,2022,2025,1.73663649168973
I46S17C56J1V1,ENFERMERIA,UNIVERSIDAD DE ACONCAGUA,Medicine +,-0.728461764114625,1777786.87830108,21,4,2022,2025,1.77778687830108
I11S2C266J1V1,ENFERMERIA,UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,Medicine +,-0.721664119974753,1817356.17869419,44,3,2023,2025,1.81735617869419
I46S9C56J1V1,ENFERMERIA,UNIVERSIDAD DE ACONCAGUA,Medicine +,-0.720931439671751,1777786.87830108,52,4,2022,2025,1.77778687830108
I9S1C41J1V1,ENFERMERIA,UNIVERSIDAD DEL ALBA,Medicine +,-0.715047336762888,1736636.49168973,58,5,2021,2025,1.73663649168973
I46S23C56J1V1,ENFERMERIA,UNIVERSIDAD DE ACONCAGUA,Medicine +,-0.658122322671467,1777786.87830108,57,4,2022,2025,1.77778687830108
I17S1C250J1V1,OBSTETRICIA Y NEONATOLOGIA,UNIVERSIDAD SEK,Medicine +,-0.644963349453135,1751811.73304774,79,5,2021,2025,1.75181173304774
I9S2C41J1V1,ENFERMERIA,UNIVERSIDAD DEL ALBA,Medicine +,-0.643583651714371,1736636.49168973,152,4,2022,2025,1.73663649168973
I22S1C109J1V1,ENFERMERIA,UNIVERSIDAD DE VIÑA DEL MAR,Medicine +,-0.642262548214685,1635335.88798528,200,4,2022,2025,1.63533588798528
I9S9C41J1V1,ENFERMERIA,UNIVERSIDAD DEL ALBA,Medicine +,-0.575414881430204,1736636.49168973,101,5,2021,2025,1.73663649168973
I22S1C281J1V1,TECNOLOGIA MEDICA,UNIVERSIDAD DE VIÑA DEL MAR,Medicine +,-0.570124629863668,1513561.6452602,85,4,2022,2025,1.5135616452602
I22S1C332J1V1,OBSTETRICIA,UNIVERSIDAD DE VIÑA DEL MAR,Medicine +,-0.556939841563213,1478658.4838849,298,4,2022,2025,1.4786584838849
I84S2C456J1V1,OBSTETRICIA Y PUERICULTURA,UNIVERSIDAD DE LOS LAGOS,Medicine +,-0.531576500384414,1482118.00524881,77,3,2023,2025,1.48211800524881
I81S3C7J1V1,ENFERMERIA,UNIVERSIDAD ARTURO PRAT,Medicine +,-0.515982526407249,1798313.53372942,150,4,2022,2025,1.79831353372942
I19S4C21J1V1,ENFERMERIA,UNIVERSIDAD DE LAS AMERICAS,Medicine +,-0.515587444786933,1720481.78486221,581,4,2022,2025,1.72048178486221
I11S2C290J1V1,TECNOLOGIA MEDICA,UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,Medicine +,-0.514774362506425,1682027.91124273,28,3,2023,2025,1.68202791124273
I19S6C21J1V1,ENFERMERIA,UNIVERSIDAD DE LAS AMERICAS,Medicine +,-0.512247316161895,1720481.78486221,313,4,2022,2025,1.72048178486221
I19S3C21J1V1,ENFERMERIA,UNIVERSIDAD DE LAS AMERICAS,Medicine +,-0.503861173462793,1720481.78486221,240,4,2022,2025,1.72048178486221
I84S2C319J1V1,ENFERMERIA,UNIVERSIDAD DE LOS LAGOS,Medicine +,-0.487061220475109,1639161.97731105,235,4,2022,2025,1.63916197731105
I11S1C290J1V1,TECNOLOGIA MEDICA,UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,Medicine +,-0.480978851772697,1682027.91124273,61,3,2022,2024,1.68202791124273
I19S1C21J1V1,ENFERMERIA,UNIVERSIDAD DE LAS AMERICAS,Medicine +,-0.475729449021745,1720481.78486221,457,4,2022,2025,1.72048178486221
I19S2C21J1V1,ENFERMERIA,UNIVERSIDAD DE LAS AMERICAS,Medicine +,-0.466391838698066,1720481.78486221,425,4,2022,2025,1.72048178486221
I42S1C276J1V1,ENFERMERIA,UNIVERSIDAD CATOLICA CARDENAL RAUL SILVA HENRIQUEZ,Medicine +,-0.454709544402329,1720515.94406689,472,4,2022,2025,1.72051594406689
I11S1C266J1V1,ENFERMERIA,UNIVERSIDAD ACADEMIA DE HUMANISMO CRISTIANO,Medicine +,-0.437842372881157,1817356.17869419,87,3,2022,2024,1.81735617869419
