cohort_gr8,year_rel_cohort8,n_students_with_tracking,n_student_year_rows,n_students,share_students_with_tracking
2017,1,234423,234423,238468,0.983037556401698
2017,2,231589,231589,238468,0.971153362295989
2017,3,226328,226328,238468,0.9490917020313
2017,4,221699,221699,238468,0.929680292534009
2018,1,228765,228765,232501,0.983931251908594
2018,2,225470,225470,232501,0.969759269852603
2018,3,223980,223980,232501,0.963350695265827
2018,4,217758,217758,232501,0.936589520045075
2019,1,228810,228810,233475,0.980019274012207
2019,2,227967,227967,233475,0.976408609058786
2019,3,225067,225067,233475,0.963987578969911
2019,4,217767,217767,233475,0.932720848056537
2020,1,236681,236681,240066,0.985899710912832
2020,2,235181,235181,240066,0.979651429190306
2020,3,231384,231384,240066,0.963834945390018
2020,4,223914,223914,240066,0.932718502411837
2021,1,249371,249371,253472,0.983820698144174
2021,2,246653,246653,253472,0.973097620249968
2021,3,242272,242272,253472,0.955813659891428
2021,4,234475,234475,253472,0.925052865799773
