section,metric,value,note
raw_2026,scores_exists,TRUE,C:/Users/brunem/Dropbox/causal_schools/data/raw/2026/PAES-2026-Inscritos-Puntajes/A_INSCRITOS_PUNTAJES_PAES_2026_PUB_MRUN.csv
raw_2026,applications_exists,TRUE,C:/Users/brunem/Dropbox/causal_schools/data/raw/2026/PAES-2026-Postulantes/C_POSTULANTES_SELECCION_PAES_2026_PUB_MRUN.csv
raw_2026,matricula_paes_exists,TRUE,C:/Users/brunem/Dropbox/causal_schools/data/raw/2026/PAES-2026-Matricula/D_MATRICULA_PAES_2026_2026_PUB_MRUN.csv
raw_2026,oferta_exists,TRUE,C:/Users/brunem/Dropbox/causal_schools/data/raw/2026/PAES-2026-Oferta-Definitiva-Programas/OFERTA_DEFINITIVA_PROGRAMAS_PAES_2026.csv
raw_2026,socioeconomics_exists,TRUE,C:/Users/brunem/Dropbox/causal_schools/data/raw/2026/PAES-2026-Socioeconomicos/B_SOCIOECONOMICO_DOMICILIO_PAES_2026_PUB_MRUN.csv
clean_scores,has_2026,TRUE,
clean_scores,rows_2026,215142,
clean_applications,has_2026,TRUE,
clean_applications,rows_2026,1694081,
universe,min_cohort_gr8,2017,
universe,max_cohort_gr8,2021,
universe,cohort_2021_present,TRUE,
universe,psu_2026_records,200024,
rbd_universe,all_universe_rows_have_most_time_RBD,FALSE,
stem_outcome,has_2026_first_app,TRUE,
stem_outcome,rows_2026_first_app,141178,
oferta,top_level_24_26_exists,TRUE,C:/Users/brunem/Dropbox/causal_schools/data/clean/oferta_codes_24_26_all.rds
oferta,has_2026,TRUE,
program_info,program_info_22_25_exists,TRUE,C:/Users/brunem/Dropbox/causal_schools/data/clean/program_info_22-25.rds
program_info,program_info_22_25_rows,15826,
program_info,program_info_22_25_unique_cod_sies,15826,
program_info,oferta_2026_matched_program_info_22_25,2060,
paes_matricula,mapped_file_exists,TRUE,C:/Users/brunem/Dropbox/causal_schools/data/clean/paes_2026_update/paes_matricula_2025_2026_mapped.rds
paes_matricula,has_2026,TRUE,
remaining_blockers,student_tracking_2025_exists,TRUE,C:/Users/brunem/Dropbox/causal_schools/data/raw/student_tracking/2025
remaining_blockers,full_sies_matricula_2026_exists,FALSE,C:/Users/brunem/Dropbox/causal_schools/data/raw/2026/Matricula-Ed-Superior-2026
remaining_blockers,paes_matricula_is_full_sies_substitute,FALSE,"PAES matricula is admissions-process matricula, not full SIES Matricula-Ed-Superior coverage."
