z_math_bin,z_verbal_bin,n_students
-3.55,-4.15,2
-3.55,-2.25,1
-3.55,-2.15,1
-3.55,-1.85,1
-3.55,-1.75,1
-3.55,-1.55,1
-3.55,-1.35,1
-3.55,-1.25,1
-3.55,-1.15,1
-3.55,-0.95,1
-3.55,-0.85,1
-3.55,-0.35,1
-3.55,-0.25,2
-3.55,-0.05,1
-3.55,0.05,1
-3.25,-3.25,1
-3.25,-1.85,1
-3.25,-1.45,1
-3.25,-1.25,1
-3.25,-0.65,1
-3.25,-0.15,2
-3.05,-2.75,1
-3.05,-2.55,1
-3.05,-1.65,1
-3.05,-1.45,1
-3.05,-1.15,1
-3.05,-0.85,1
-2.95,-2.55,1
-2.95,-1.25,1
-2.95,-0.75,1
-2.95,-0.65,1
-2.95,-0.55,1
-2.95,-0.45,2
-2.95,-0.35,1
-2.95,-0.25,1
-2.95,-0.15,1
-2.95,0.05,1
-2.85,-2.65,3
-2.85,-2.35,1
-2.85,-2.25,1
-2.85,-2.15,1
-2.85,-1.85,2
-2.85,-1.65,1
-2.85,-1.55,2
-2.85,-1.45,1
-2.85,-1.35,1
-2.85,-1.15,2
-2.85,-1.05,5
-2.85,-0.95,2
-2.85,-0.75,1
-2.85,-0.65,1
-2.85,-0.55,2
-2.85,-0.45,2
-2.85,-0.25,1
-2.85,0.05,1
-2.85,0.45,1
-2.85,0.55,1
-2.75,-2.65,1
-2.75,-2.55,1
-2.75,-2.45,1
-2.75,-2.15,1
-2.75,-1.95,1
-2.75,-1.85,2
-2.75,-1.75,1
-2.75,-1.55,1
-2.75,-1.45,4
-2.75,-1.35,3
-2.75,-1.25,4
-2.75,-1.15,2
-2.75,-1.05,2
-2.75,-0.95,5
-2.75,-0.85,4
-2.75,-0.75,2
-2.75,-0.65,4
-2.75,-0.45,4
-2.75,-0.35,3
-2.75,-0.15,2
-2.75,-0.05,2
-2.75,0.05,5
-2.75,0.15,1
-2.75,0.25,1
-2.75,0.35,2
-2.75,0.45,3
-2.75,0.55,3
-2.75,1.05,1
-2.75,1.15,1
-2.65,-3.25,1
-2.65,-3.15,1
-2.65,-2.75,1
-2.65,-2.65,1
-2.65,-2.55,4
-2.65,-2.45,3
-2.65,-2.35,2
-2.65,-2.25,3
-2.65,-2.15,2
-2.65,-2.05,2
-2.65,-1.95,6
-2.65,-1.85,9
-2.65,-1.75,2
-2.65,-1.65,7
-2.65,-1.55,2
-2.65,-1.45,12
-2.65,-1.35,4
-2.65,-1.25,12
-2.65,-1.15,9
-2.65,-1.05,10
-2.65,-0.95,8
-2.65,-0.85,7
-2.65,-0.75,11
-2.65,-0.65,15
