spec,label,gender,beta,se,p_value,ci_low,ci_high,n_obs,fs_f,spec_order
math_adj_eb,Math,Boys,0.703499412138591,0.110239928856589,1.75327376372056e-10,0.487429151579677,0.919569672697505,42352,1676.50243314588,1
math_adj_eb,Math,Girls,1.05286114044866,0.0957236854721281,3.86557517325366e-28,0.865242716923291,1.24047956397403,51086,1601.07310933867,1
leng_adj_eb,Verbal,Boys,0.684673787795525,0.128926556208576,1.09281567856433e-07,0.431977737626716,0.937369837964334,42935,2169.30117601491,2
leng_adj_eb,Verbal,Girls,1.06617906347396,0.118224451841473,1.9109711055279e-19,0.834459137864674,1.29789898908325,52172,2159.69526390394,2
highinst_adj_eb,High-premium inst.,Boys,0.422056999531218,0.117575188671447,0.00033108742773096,0.191609629735182,0.652504369327254,69493,1139.48443933681,3
highinst_adj_eb,High-premium inst.,Girls,0.558896650477081,0.143906279586234,0.000102855794265167,0.276840342488062,0.8409529584661,69612,648.236096655914,3
highpay_adj_eb,High-premium field,Boys,0.649835294124667,0.101461445885841,1.50615010799525e-10,0.45097086018842,0.848699728060915,66019,4125.53200151048,4
highpay_adj_eb,High-premium field,Girls,0.780903950583875,0.127788554258826,9.90665846043134e-10,0.530438384236575,1.03136951693117,65300,2864.86681829856,4
program_income_full_adj_eb,Log proj. income,Boys,0.405874802209269,0.124042475507723,0.00106765759059228,0.162751550214132,0.648998054204405,69493,4190.48590552231,5
program_income_full_adj_eb,Log proj. income,Girls,0.365765747831574,0.135149934481952,0.0068023179803341,0.100871876246948,0.6306596194162,69612,2884.14961400276,5
