program_income_full_millions_bin,n_students
0.575,161
0.825,1
0.875,4
0.925,1
0.975,9
1.025,11
1.075,16
1.125,6
1.175,18
1.225,21
1.275,24
1.325,43
1.375,28
1.425,35
1.475,36
1.525,14
1.575,49
1.625,45
1.675,30
1.725,34
1.775,61
1.825,30
1.875,48
1.925,79
1.975,20
2.025,46
2.075,43
2.125,26
2.175,44
2.225,77
2.275,3
2.325,25
2.375,19
2.425,44
2.475,4
2.525,23
2.575,5
2.625,8
2.675,5
2.775,17
2.825,3
2.975,3
3.025,3
3.125,4
3.275,5
3.325,6
3.375,4
3.425,3
3.575,4
3.675,24
3.775,4
3.825,1
3.875,2
4.025,2
4.075,2
4.125,4
4.425,7
