spec,label,plot_label,family,group,beta,se,ci_low,ci_high,n_obs,quartile,group_label
math_adj,Math,Math VA,Achievement,Q1,0.142285937877432,0.147295475498485,-0.146413194099598,0.430985069854462,17434,1,Q1 (lowest)
math_adj,Math,Math VA,Achievement,Q2,0.799173516754016,0.125755940432487,0.552691873506343,1.04565516000169,21712,2,Q2
math_adj,Math,Math VA,Achievement,Q3,0.827488525519943,0.127754157118948,0.577090377566806,1.07788667347308,24193,3,Q3
math_adj,Math,Math VA,Achievement,Q4,1.17023486611076,0.136435245558482,0.902821784816141,1.43764794740539,27567,4,Q4 (highest)
leng_adj,Language,Language VA,Achievement,Q1,0.579684872968558,0.184762681507713,0.217550017213441,0.941819728723674,17880,1,Q1 (lowest)
leng_adj,Language,Language VA,Achievement,Q2,0.730774734620129,0.164008733084528,0.409317617774455,1.0522318514658,22157,2,Q2
leng_adj,Language,Language VA,Achievement,Q3,0.699255378057146,0.15590160234655,0.393688237457908,1.00482251865638,24585,3,Q3
leng_adj,Language,Language VA,Achievement,Q4,1.17903125783653,0.153036717175975,0.879079292171623,1.47898322350144,27850,4,Q4 (highest)
stem_adj,STEM enrollment,STEM VA,Higher education,Q1,0.638249367136015,0.122595846008953,0.397961508958468,0.878537225313562,33634,1,Q1 (lowest)
stem_adj,STEM enrollment,STEM VA,Higher education,Q2,0.694700550225354,0.128324896059819,0.443183753948109,0.946217346502599,33888,2,Q2
stem_adj,STEM enrollment,STEM VA,Higher education,Q3,0.728392185819536,0.133738237686965,0.466265239953085,0.990519131685986,34084,3,Q3
stem_adj,STEM enrollment,STEM VA,Higher education,Q4,0.64049176878963,0.139908022177135,0.366272045322445,0.914711492256814,34292,4,Q4 (highest)
progcert_adj,Program-certified years,Program-cert. years VA,Higher education,Q1,0.302087434539512,0.270273650180554,-0.227648919814373,0.831823788893397,33634,1,Q1 (lowest)
progcert_adj,Program-certified years,Program-cert. years VA,Higher education,Q2,1.04342743901381,0.312975048596903,0.429996343763878,1.65685853426374,33888,2,Q2
progcert_adj,Program-certified years,Program-cert. years VA,Higher education,Q3,0.62736322600126,0.297078532700758,0.0450893019077743,1.20963715009475,34084,3,Q3
progcert_adj,Program-certified years,Program-cert. years VA,Higher education,Q4,1.0683529744964,0.336943661153841,0.40794339863487,1.72876255035793,34292,4,Q4 (highest)
