spec,label,plot_label,family,group,beta,se,ci_low,ci_high,n_obs,quintile,group_label,beta_q3,se_q3,comparison,difference,difference_se,z_stat,p_value,spec_order
math_adj,Math,Math VA,Achievement,Q1,0.144802455775194,0.145177034017531,-1.20501753052149,-0.385130343475159,17825,1,Q1 (lowest),0.939876392773516,0.150563603675925,Q1 - Q3,-0.795073936998322,0.209154894654675,-3.80136423922102,0.000143901578394959,1
leng_adj,Language,Language VA,Achievement,Q1,0.596436769110095,0.179506049280396,-0.84201019941564,0.177349733074437,18277,1,Q1 (lowest),0.928767002280697,0.188145676194562,Q1 - Q3,-0.332330233170601,0.260040799104611,-1.2779926623626,0.201252013499012,2
stem_adj,STEM enrollment,STEM VA,Higher education,Q1,0.734599474721429,0.131647077091209,-0.615372987521944,0.174531611917681,18412,1,Q1 (lowest),0.955020162523561,0.152557615692314,Q1 - Q3,-0.220420687802132,0.201506275367251,-1.09386512851974,0.274014134726999,3
instcert_adj,Institutional quality,Inst. quality VA,Higher education,Q1,1.07454076747704,0.285072200274611,-0.691176992794135,0.877617636491003,18412,1,Q1 (lowest),0.981320445628606,0.280884408546345,Q1 - Q3,0.0932203218484343,0.400202711552331,0.232932759218061,0.815813619834028,4
math_adj,Math,Math VA,Achievement,Q2,0.784961152760656,0.132514171765028,-0.548037714839332,0.238207234813611,18055,2,Q2,0.939876392773516,0.150563603675925,Q2 - Q3,-0.154915240012861,0.200572691237996,-0.772364567961255,0.43989853320837,1
leng_adj,Language,Language VA,Achievement,Q2,0.601163828037915,0.178120288748498,-0.835412026777941,0.180205678292377,18436,2,Q2,0.928767002280697,0.188145676194562,Q2 - Q3,-0.327603174242782,0.259086149252632,-1.26445653381239,0.206066212423209,2
stem_adj,STEM enrollment,STEM VA,Higher education,Q2,0.48650325782396,0.144300363055506,-0.880100201817845,-0.0569336075813578,18552,2,Q2,0.955020162523561,0.152557615692314,Q2 - Q3,-0.468516904699601,0.209991478121553,-2.23112341934372,0.025672954851405,3
instcert_adj,Institutional quality,Inst. quality VA,Higher education,Q2,1.21434316340664,0.273608358922384,-0.535531209202191,1.00157664475825,18552,2,Q2,0.981320445628606,0.280884408546345,Q2 - Q3,0.233022717778031,0.392119350500113,0.594264775458879,0.552335034296686,4
math_adj,Math,Math VA,Achievement,Q4,0.771348232227429,0.157697277523206,-0.595870327988261,0.258814006896086,18324,4,Q4,0.939876392773516,0.150563603675925,Q4 - Q3,-0.168528160546087,0.218031718082742,-0.772952495297643,0.439550495301722,1
leng_adj,Language,Language VA,Achievement,Q4,1.12218644460348,0.182074183512478,-0.319748099686869,0.706586984332426,18578,4,Q4,0.928767002280697,0.188145676194562,Q4 - Q3,0.193419442322778,0.261820174494718,0.738749191868255,0.460059309053938,2
stem_adj,STEM enrollment,STEM VA,Higher education,Q4,0.566869114224557,0.165760487397141,-0.82969674614901,0.053394649551002,18648,4,Q4,0.955020162523561,0.152557615692314,Q4 - Q3,-0.388151048299004,0.225278417270411,-1.72298373276074,0.0848914668068535,3
instcert_adj,Institutional quality,Inst. quality VA,Higher education,Q4,1.31123206721124,0.264742108110043,-0.426619015349006,1.08644225851428,18648,4,Q4,0.981320445628606,0.280884408546345,Q4 - Q3,0.329911621582636,0.385985018842674,0.854726493198707,0.392702580183879,4
math_adj,Math,Math VA,Achievement,Q5,1.31660837609357,0.166315604600853,-0.0629824696324871,0.816446436272589,18516,5,Q5 (highest),0.939876392773516,0.150563603675925,Q5 - Q3,0.376731983320051,0.224344108649254,1.67925953388437,0.0931014738089702,1
leng_adj,Language,Language VA,Achievement,Q5,0.890705919898565,0.183541755593739,-0.553233097169667,0.477110932405404,18675,5,Q5 (highest),0.928767002280697,0.188145676194562,Q5 - Q3,-0.0380610823821315,0.262842864687518,-0.144805461724748,0.88486446984805,2
stem_adj,STEM enrollment,STEM VA,Higher education,Q5,0.70686779683855,0.163440668635909,-0.686363300329,0.190058568958978,18745,5,Q5 (highest),0.955020162523561,0.152557615692314,Q5 - Q3,-0.248152365685011,0.223577007471423,-1.10991898716029,0.267033937810166,3
instcert_adj,Institutional quality,Inst. quality VA,Higher education,Q5,1.20097428255707,0.265703705549641,-0.5381707536121,0.977478427469031,18745,5,Q5 (highest),0.981320445628606,0.280884408546345,Q5 - Q3,0.219653836928465,0.386645199255391,0.568101808457675,0.569965839864726,4
