spec,label,plot_label,family,group,beta,se,ci_low,ci_high,n_obs,quintile,group_label
math_adj,Math,Math VA,Achievement,Q1,0.0708043979312475,0.172451569849734,-0.267200678974231,0.408809474836726,13527,1,Q1 (lowest)
math_adj,Math,Math VA,Achievement,Q2,0.609456398557358,0.141027309441546,0.333042872051929,0.885869925062788,16620,2,Q2
math_adj,Math,Math VA,Achievement,Q3,0.854871012696959,0.142958372987647,0.57467260164117,1.13506942375275,18341,3,Q3
math_adj,Math,Math VA,Achievement,Q4,0.900908496831062,0.143010017491305,0.620608862548104,1.18120813111402,20010,4,Q4
math_adj,Math,Math VA,Achievement,Q5,1.22027819682762,0.152368182782199,0.921636558574513,1.51891983508073,22408,5,Q5 (highest)
leng_adj,Language,Language VA,Achievement,Q1,0.621245852371603,0.209197287680388,0.211219168518041,1.03127253622516,13905,1,Q1 (lowest)
leng_adj,Language,Language VA,Achievement,Q2,0.553758357945215,0.187391023351021,0.186471952177214,0.921044763713216,16967,2,Q2
leng_adj,Language,Language VA,Achievement,Q3,0.811998762395426,0.182111861334006,0.455059514180774,1.16893801061008,18678,3,Q3
leng_adj,Language,Language VA,Achievement,Q4,0.988028804382456,0.172013251036023,0.650882832351851,1.32517477641306,20310,4,Q4
leng_adj,Language,Language VA,Achievement,Q5,1.02063462204127,0.169194106550271,0.689014173202736,1.3522550708798,22612,5,Q5 (highest)
stem_adj,STEM enrollment,STEM VA,Higher education,Q1,0.653228524426798,0.134012458188398,0.390564106377537,0.915892942476058,26868,1,Q1 (lowest)
stem_adj,STEM enrollment,STEM VA,Higher education,Q2,0.726040450398191,0.140944899129215,0.449788448104929,1.00229245269145,27079,2,Q2
stem_adj,STEM enrollment,STEM VA,Higher education,Q3,0.697806106898386,0.147695020354019,0.408323867004509,0.987288346792263,27187,3,Q3
stem_adj,STEM enrollment,STEM VA,Higher education,Q4,0.663995202704791,0.155974987618896,0.358284226971754,0.969706178437828,27288,4,Q4
stem_adj,STEM enrollment,STEM VA,Higher education,Q5,0.639914281471891,0.155412275877978,0.335306220751055,0.944522342192727,27476,5,Q5 (highest)
instcert_adj,Institution quality,Inst. quality VA,Higher education,Q1,0.446601833290546,0.220990936376641,0.01345959799233,0.879744068588762,26868,1,Q1 (lowest)
instcert_adj,Institution quality,Inst. quality VA,Higher education,Q2,0.657913542182232,0.219750316173883,0.227202922481422,1.08862416188304,27079,2,Q2
instcert_adj,Institution quality,Inst. quality VA,Higher education,Q3,0.851767822300048,0.226438696297105,0.407947977557723,1.29558766704237,27187,3,Q3
instcert_adj,Institution quality,Inst. quality VA,Higher education,Q4,0.717125782794181,0.201831622946416,0.321535801819205,1.11271576376916,27288,4,Q4
instcert_adj,Institution quality,Inst. quality VA,Higher education,Q5,0.761092237426612,0.196281084936648,0.376381310950782,1.14580316390244,27476,5,Q5 (highest)
