spec,label,quintile,beta,se,p_value,ci_low,ci_high,n_obs,fs_f,spec_order
math_adj_eb,Math,1,0.083165906951308,0.172088456422657,0.628901073657347,-0.254127467637099,0.420459281539715,13774,385.809064035475,1
math_adj_eb,Math,2,0.622587576997439,0.144912104164558,1.73663305729197e-05,0.338559852834906,0.906615301159973,17142,568.892883236213,1
math_adj_eb,Math,3,0.928958321710162,0.144859128413426,1.42833997249346e-10,0.645034430019847,1.21288221340048,18834,727.341597850981,1
math_adj_eb,Math,4,0.950582803833221,0.144484379038718,4.73180467927814e-11,0.667393420917334,1.23377218674911,20609,755.33299322925,1
math_adj_eb,Math,5,1.28487824251148,0.155029066680929,1.15185203570516e-16,0.981021271816858,1.5887352132061,23079,837.298271480285,1
leng_adj_eb,Verbal,1,0.600379845670815,0.221916051238205,0.00682146325080318,0.165424385243934,1.0353353060977,14174,676.652480651564,2
leng_adj_eb,Verbal,2,0.640097450108378,0.194583607819542,0.00100338668116745,0.258713578782075,1.02148132143468,17505,801.688020343393,2
leng_adj_eb,Verbal,3,0.945217059787325,0.196630119780811,1.53149379406844e-06,0.559822025016936,1.33061209455771,19197,968.86998032943,2
leng_adj_eb,Verbal,4,0.998682116193386,0.181688141509618,3.87001495490454e-08,0.642573358834534,1.35479087355224,20939,911.927471986555,2
leng_adj_eb,Verbal,5,1.07544983485697,0.180198470902427,2.39972342809902e-09,0.722260831888218,1.42863883782573,23292,983.765204794189,2
highinst_adj_eb,High-premium inst.,1,0.496615812645953,0.17938078724317,0.00563148862497906,0.145029469649339,0.848202155642566,27475,373.091280469089,3
highinst_adj_eb,High-premium inst.,2,0.248894675698015,0.189355772764299,0.188701953613944,-0.122242638920011,0.620031990316041,27722,373.830109584373,3
highinst_adj_eb,High-premium inst.,3,0.496065220660718,0.204094641308001,0.0150753162427733,0.0960397236970357,0.8960907176244,27836,356.421736394343,3
highinst_adj_eb,High-premium inst.,4,0.499153735106759,0.207417193563454,0.0161052986690804,0.0926160357223889,0.905691434491129,27936,364.554891667461,3
highinst_adj_eb,High-premium inst.,5,0.711610025137205,0.21937778477119,0.00117960939535064,0.281629566985672,1.14159048328874,28136,309.886186101661,3
highpay_adj_eb,High-premium field,1,0.551934562221575,0.163470875111685,0.000734549465741308,0.231531647002673,0.872337477440477,25686,1356.68683634127,4
highpay_adj_eb,High-premium field,2,0.652582946658734,0.170451619913426,0.000128899225761793,0.318497771628419,0.986668121689049,25956,1396.83930260493,4
highpay_adj_eb,High-premium field,3,0.856010536753594,0.180233291988856,2.03962066871384e-06,0.502753284455437,1.20926778905175,26251,1300.04924411408,4
highpay_adj_eb,High-premium field,4,0.648525360412311,0.192887041646773,0.00077323299316319,0.270466758784635,1.02658396203999,26461,1276.47235281185,4
highpay_adj_eb,High-premium field,5,0.776346757414858,0.188704079476884,3.8869913351317e-05,0.406486761640166,1.14620675318955,26965,1535.44020546139,4
program_income_full_adj_eb,Log proj. income,1,0.11196445535461,0.19315911249956,0.562151450620764,-0.266627405144527,0.490556315853746,27475,1252.25202491859,5
program_income_full_adj_eb,Log proj. income,2,0.332085435182307,0.201386452704279,0.0991484743082618,-0.0626320121180786,0.726802882482693,27722,1357.70337439685,5
program_income_full_adj_eb,Log proj. income,3,0.446814217135625,0.204985658068,0.0292771815783796,0.0450423273223439,0.848586106948906,27836,1358.10268343083,5
program_income_full_adj_eb,Log proj. income,4,0.571496809877999,0.207597879170806,0.0059069407658554,0.16460496670322,0.978388653052778,27936,1532.41197350786,5
program_income_full_adj_eb,Log proj. income,5,0.459594220154656,0.209501057672428,0.0282529494232369,0.0489721471166979,0.870216293192615,28136,1559.757488207,5
