selection_rank,from_key,from_label,to_key,to_label,rss_projection,rss_projection_bootstrap_se,predicted_causal_gain,direct_iv,direct_se,validation_ratio,difference,first_stage_f,n_obs
1,income,Log income,math,Math,1.27125664801552,0.106420122580622,1.45245147025525,0.45811098366545,0.193155719719505,0.315405363309621,-0.994340486589798,3508.43096393395,92361
2,highinst,High-premium inst.,math,Math,0.973380393265823,0.0654312926847006,1.11211830083528,0.151369474747309,0.279891277626993,0.136109148310589,-0.960748826087973,715.752552313915,92361
3,verbal,Verbal,math,Math,0.953299315268907,0.0512909592570991,1.08917502552855,0.926441573617716,0.0986574307400396,0.850590173207595,-0.162733451910836,3532.2759438513,92361
4,income,Log income,verbal,Verbal,0.835681169693631,0.0904734972720813,0.791504677042016,0.687006979012442,0.183221198224811,0.867975893180948,-0.104497698029574,3589.14334742416,93980
5,aid,Fin. aid app.,math,Math,-0.621515689427693,0.0726380663462838,-0.710101597741997,0.361833770739661,0.234317611661282,-0.509552114641385,1.07193536848166,2007.33253736071,92396
6,highpay,High-premium field,math,Math,0.592042189646311,0.0904124310552428,0.676427179474166,0.03732481108161,0.120834217681894,0.0551793485155715,-0.639102368392556,3799.59422016021,92361
7,highinst,High-premium inst.,verbal,Verbal,0.629494870624966,0.0523853100504596,0.596217974441475,0.354108110726301,0.252636563148177,0.593923910224314,-0.242109863715174,732.707476631715,93980
8,math,Math,verbal,Verbal,0.596977287841001,0.0228276068195623,0.565419363927079,0.693813335486063,0.0846123000356799,1.22707742208762,0.128393971558985,2920.06748305931,93980
9,exam,Exam taking,math,Math,0.482401177789912,0.052123367289508,0.551158808905806,0.419124367423926,0.109490282147395,0.760442109699738,-0.132034441481879,4212.37046804402,92396
10,highpay,High-premium field,income,Log income,0.585547865812424,0.0416517158723681,0.492498613553295,0.393918176034081,0.0707658660891763,0.799836111602482,-0.0985804375192138,3929.78254289902,94487
