spec,outcome_group,adjustment,group,beta,se,zstat,p_value,n_obs,fs_beta,fs_se,fs_f
math_adj,Math,Adjusted,All,0.84101428154207,0.0714929652423646,11.7635949032326,6.01189058573277e-32,90906,0.42963480295129,0.00807887030839918,2828.11871865282
math_adj,Math,Adjusted,Q1,0.144802455775194,0.145177034017531,0.997419851942346,0.318560759289676,17825,0.387338999311486,0.0183363307789683,446.2287858023
math_adj,Math,Adjusted,Q2,0.784961152760656,0.132514171765028,5.92360154619943,3.14966084863742e-09,18055,0.444697570565202,0.0178240852534775,622.465107910369
math_adj,Math,Adjusted,Q3,0.939876392773516,0.150563603675925,6.24238773400056,4.3094107226629e-10,18186,0.413933556552215,0.0176279056754193,551.391204251634
math_adj,Math,Adjusted,Q4,0.771348232227429,0.157697277523206,4.89132243969095,1.00160725803471e-06,18324,0.433878585447762,0.0178162117088995,593.069652495336
math_adj,Math,Adjusted,Q5,1.31660837609357,0.166315604600853,7.91632498497866,2.44633682418074e-15,18516,0.456805886219948,0.0180960063197506,637.232480699694
leng_adj,Language,Adjusted,All,0.835290543627819,0.0821522944507119,10.1675863006962,2.76679840422915e-24,92472,0.419561872470376,0.00700269870649327,3589.72473670284
leng_adj,Language,Adjusted,Q1,0.596436769110095,0.179506049280396,3.32265554002827,0.000891649457252967,18277,0.402001723841447,0.015335375220168,687.174472299568
leng_adj,Language,Adjusted,Q2,0.601163828037915,0.178120288748498,3.3750440910566,0.000738038654652586,18436,0.42760806442761,0.0158706662574132,725.941218822492
leng_adj,Language,Adjusted,Q3,0.928767002280697,0.188145676194562,4.93642490790093,7.95676533214812e-07,18506,0.422209881979395,0.0152584324992646,765.661740453344
leng_adj,Language,Adjusted,Q4,1.12218644460348,0.182074183512478,6.16334739475334,7.12230167853244e-10,18578,0.427470668807917,0.0157905963794105,732.850816130597
leng_adj,Language,Adjusted,Q5,0.890705919898565,0.183541755593739,4.8528789376413,1.21681977318559e-06,18675,0.4172528348709,0.0158808563575941,690.320478297377
stem_adj,STEM,Adjusted,All,0.689219131554599,0.0671687598799257,10.2610072418589,1.05599446239275e-24,92959,0.445089144964677,0.00801409277345372,3084.50354700595
stem_adj,STEM,Adjusted,Q1,0.734599474721429,0.131647077091209,5.58006672804804,2.40426330800101e-08,18412,0.468814414761903,0.01682534977177,776.378876349768
stem_adj,STEM,Adjusted,Q2,0.48650325782396,0.144300363055506,3.37146246566839,0.000747702265288982,18552,0.443700460189514,0.0178728946377119,616.296878357616
stem_adj,STEM,Adjusted,Q3,0.955020162523561,0.152557615692314,6.26006219479526,3.84823964650093e-10,18602,0.435022481681296,0.0182330485986641,569.252339429202
stem_adj,STEM,Adjusted,Q4,0.566869114224557,0.165760487397141,3.4198084424451,0.000626652460781927,18648,0.422013988626654,0.0179834348274052,550.691537955295
stem_adj,STEM,Adjusted,Q5,0.70686779683855,0.163440668635909,4.32491987911048,1.52587310384708e-05,18745,0.451464614798265,0.0187208415414165,581.562906690404
