spec,outcome_group,adjustment,group,beta,se,zstat,p_value,n_obs,fs_beta,fs_se,fs_f
math_unadj,Math,Unadjusted,All same sample,0.223941067757178,0.0466459025407667,4.80087329345728,1.5797520324746e-06,33762,0.42705002070711,0.0120750469810879,1250.77685487221
math_unadj,Math,Unadjusted,Q1,-0.0659658852974389,0.108096672367978,-0.610248991503464,0.541696880810588,5532,0.384647764354092,0.0272553248499917,199.16989749652
math_unadj,Math,Unadjusted,Q2,0.279861836674125,0.0827229222853665,3.38312318934642,0.000716664779161704,7480,0.450812476235253,0.0247430962814024,331.958476774711
math_unadj,Math,Unadjusted,Q3,0.264265419080893,0.0915415486356828,2.88683579226541,0.00389137262504918,7609,0.418405136589942,0.0246190541154074,288.83597820144
math_unadj,Math,Unadjusted,Q4,0.232433677863697,0.0955691207801062,2.4321002010524,0.0150115538055602,7325,0.449362470379619,0.0264720069890736,288.150819604704
math_unadj,Math,Unadjusted,Q5,0.275157767016418,0.131442876918947,2.0933638510217,0.036316686786312,5816,0.418480122572753,0.0312172009871275,179.705656498593
math_adj,Math,Adjusted,All same sample,0.68790251270293,0.112814853418566,6.09762360059692,1.07656872385369e-09,33748,0.437829142966999,0.0133817067984768,1070.49911304873
math_adj,Math,Adjusted,Q1,-0.103640123860918,0.259711685075438,-0.399058378258236,0.689850189646048,5530,0.405026804947224,0.0302704627340565,179.031484303184
math_adj,Math,Adjusted,Q2,0.747426504692759,0.186926238341019,3.99851038209623,6.37423855381163e-05,7475,0.474735703194273,0.0280135445470101,287.188908106963
math_adj,Math,Adjusted,Q3,0.789883038338033,0.245599339227449,3.21614480243583,0.00129925257535573,7605,0.402207783034608,0.0280306634926042,205.889493434118
math_adj,Math,Adjusted,Q4,0.744838030757921,0.223770576203438,3.32857895526336,0.000872902587826331,7322,0.468461250005661,0.0280160435759226,279.597791937332
math_adj,Math,Adjusted,Q5,0.973080311143824,0.30859743329704,3.15323527077812,0.00161471610902618,5816,0.428257113906801,0.0336541579997518,161.931639558159
leng_unadj,Language,Unadjusted,All same sample,0.159048196239111,0.0482899383479267,3.29360942839016,0.000989098324092919,34339,0.430512560334692,0.0108034821702025,1587.97673077345
leng_unadj,Language,Unadjusted,Q1,0.156136233684607,0.128361410751692,1.21637985100245,0.223840255847855,5676,0.387649643242333,0.025327152191568,234.264271126226
leng_unadj,Language,Unadjusted,Q2,0.213239214954984,0.0941422547240676,2.26507444058984,0.0235081118001554,7637,0.466454939149487,0.0225070892653942,429.517363662607
leng_unadj,Language,Unadjusted,Q3,0.0312597528511211,0.10342267099861,0.302252422503585,0.762459644427821,7732,0.419563437131601,0.0223671653455613,351.862814886858
leng_unadj,Language,Unadjusted,Q4,0.2032719467277,0.0993642765007857,2.04572461941181,0.0407834721033684,7424,0.451096151687915,0.0240985979315729,350.39241196311
leng_unadj,Language,Unadjusted,Q5,0.190608974365795,0.120814107376608,1.57770461169422,0.114633486344906,5870,0.415811816314589,0.026866394181626,239.538258960384
leng_adj,Language,Adjusted,All same sample,0.791037729532466,0.130321145383676,6.06991081304255,1.279813043591e-09,34325,0.425723759318521,0.0120168856723044,1255.08147170353
leng_adj,Language,Adjusted,Q1,0.923097253870664,0.327751997634866,2.81645042755481,0.00485575359169683,5674,0.407646769692144,0.0264104944642297,238.240145632905
leng_adj,Language,Adjusted,Q2,0.684633944242164,0.246174053568696,2.78109709092926,0.00541755320576881,7632,0.470482185233064,0.0255473370508087,339.152553763514
leng_adj,Language,Adjusted,Q3,0.475410369484308,0.29400903252537,1.61699239442001,0.105879922642703,7728,0.414552796676842,0.025127786094277,272.176889116358
leng_adj,Language,Adjusted,Q4,1.06901925328352,0.257421280862276,4.15280061424084,3.28430884192689e-05,7421,0.451493013557981,0.0252859256970758,318.819116488825
leng_adj,Language,Adjusted,Q5,0.808154867918331,0.352009774952099,2.29583075648482,0.0216855601334543,5870,0.370011542511798,0.0311796967786076,140.827272940897
stem_unadj,STEM,Unadjusted,All same sample,0.324236162503255,0.0758242817996351,4.27615210863514,1.90151326829269e-05,48341,0.484268621479112,0.00989924006109353,2393.14463333121
stem_unadj,STEM,Unadjusted,Q1,0.328565362525185,0.152552185033732,2.15378994704359,0.0312566484408876,10125,0.477609917849714,0.0215680579495113,490.370786775329
stem_unadj,STEM,Unadjusted,Q2,0.398413788797902,0.142877971724761,2.78848995396858,0.00529543897692177,11327,0.511244398855238,0.0195210564512911,685.883714539683
stem_unadj,STEM,Unadjusted,Q3,0.33553889254595,0.174918329716006,1.91826032806696,0.0550780100902909,10614,0.453956329736023,0.0218177001671291,432.92255602425
stem_unadj,STEM,Unadjusted,Q4,0.327127268368675,0.183047094093997,1.78712079526753,0.0739179671304991,9372,0.481576806702784,0.0221947146006087,470.79516662569
stem_unadj,STEM,Unadjusted,Q5,0.173877507594995,0.223901272614092,0.776581149204471,0.437405926797617,6903,0.498634774368711,0.026564384305419,352.342974257596
stem_adj,STEM,Adjusted,All same sample,0.671190212718295,0.10741291669486,6.24869180887266,4.13904708076097e-10,48340,0.471122545330377,0.0101444526566194,2156.80328349741
stem_adj,STEM,Adjusted,Q1,0.67922546021489,0.229588416412535,2.95844829991086,0.0030919210205245,10125,0.444873047880657,0.0217747180914514,417.414093547249
stem_adj,STEM,Adjusted,Q2,0.728740531045138,0.202616310989184,3.59665284343292,0.000322338214652457,11326,0.501687585514422,0.0203532241458489,607.575534822268
stem_adj,STEM,Adjusted,Q3,0.765411843041914,0.24431872501007,3.13284150860876,0.00173122897437788,10614,0.44770133391096,0.0229295813086523,381.227768891459
stem_adj,STEM,Adjusted,Q4,0.463571317722669,0.250247021484382,1.85245488626765,0.0639605300383387,9372,0.478771646458723,0.0222102362891882,464.676263031215
stem_adj,STEM,Adjusted,Q5,0.74408947294768,0.306461398584051,2.42800390648091,0.0151821797439742,6903,0.486943664569615,0.026920382726062,327.186201406738
