group,outcome_group,adjustment,beta,se,p_value,n_obs,fs_beta,fs_se,fs_f
All same sample,Math,Adjusted,0.68790251270293,0.112814853418566,1.07656872385369e-09,33748,0.437829142966999,0.0133817067984768,1070.49911304873
All same sample,Language,Adjusted,0.791037729532466,0.130321145383676,1.279813043591e-09,34325,0.425723759318521,0.0120168856723044,1255.08147170353
All same sample,STEM,Adjusted,0.671190212718295,0.10741291669486,4.13904708076097e-10,48340,0.471122545330377,0.0101444526566194,2156.80328349741
Q1,Math,Adjusted,-0.103640123860918,0.259711685075438,0.689850189646048,5530,0.405026804947224,0.0302704627340565,179.031484303184
Q1,Language,Adjusted,0.923097253870664,0.327751997634866,0.00485575359169683,5674,0.407646769692144,0.0264104944642297,238.240145632905
Q1,STEM,Adjusted,0.67922546021489,0.229588416412535,0.0030919210205245,10125,0.444873047880657,0.0217747180914514,417.414093547249
Q2,Math,Adjusted,0.747426504692759,0.186926238341019,6.37423855381163e-05,7475,0.474735703194273,0.0280135445470101,287.188908106963
Q2,Language,Adjusted,0.684633944242164,0.246174053568696,0.00541755320576881,7632,0.470482185233064,0.0255473370508087,339.152553763514
Q2,STEM,Adjusted,0.728740531045138,0.202616310989184,0.000322338214652457,11326,0.501687585514422,0.0203532241458489,607.575534822268
Q3,Math,Adjusted,0.789883038338033,0.245599339227449,0.00129925257535573,7605,0.402207783034608,0.0280306634926042,205.889493434118
Q3,Language,Adjusted,0.475410369484308,0.29400903252537,0.105879922642703,7728,0.414552796676842,0.025127786094277,272.176889116358
Q3,STEM,Adjusted,0.765411843041914,0.24431872501007,0.00173122897437788,10614,0.44770133391096,0.0229295813086523,381.227768891459
Q4,Math,Adjusted,0.744838030757921,0.223770576203438,0.000872902587826331,7322,0.468461250005661,0.0280160435759226,279.597791937332
Q4,Language,Adjusted,1.06901925328352,0.257421280862276,3.28430884192689e-05,7421,0.451493013557981,0.0252859256970758,318.819116488825
Q4,STEM,Adjusted,0.463571317722669,0.250247021484382,0.0639605300383387,9372,0.478771646458723,0.0222102362891882,464.676263031215
Q5,Math,Adjusted,0.973080311143824,0.30859743329704,0.00161471610902618,5816,0.428257113906801,0.0336541579997518,161.931639558159
Q5,Language,Adjusted,0.808154867918331,0.352009774952099,0.0216855601334543,5870,0.370011542511798,0.0311796967786076,140.827272940897
Q5,STEM,Adjusted,0.74408947294768,0.306461398584051,0.0151821797439742,6903,0.486943664569615,0.026920382726062,327.186201406738
