spec,outcome_group,adjustment,group,beta,se,zstat,p_value,n_obs,fs_beta,fs_se,fs_f
math_unadj,Math,Unadjusted,All same sample,0.223941067757178,0.0466459025407667,4.80087329345728,1.5797520324746e-06,33762,0.42705002070711,0.0120750469810879,1250.77685487221
math_unadj,Math,Unadjusted,T1,0.0689363159152845,0.0807145748773192,0.854075190510055,0.393063329296191,9314,0.410806722302686,0.0215887240216011,362.093837921843
math_unadj,Math,Unadjusted,T2,0.28141257713418,0.0725906285590704,3.87670671435475,0.000105879858052703,11344,0.428473773516966,0.0202417010166587,448.078883093002
math_unadj,Math,Unadjusted,T3,0.25521289001574,0.0787945436177886,3.23896653623263,0.00119963647562028,13104,0.436577358599605,0.0202639749033078,464.165801962
math_adj,Math,Adjusted,All same sample,0.68790251270293,0.112814853418566,6.09762360059692,1.07656872385369e-09,33748,0.437829142966999,0.0133817067984768,1070.49911304873
math_adj,Math,Adjusted,T1,0.347711667137187,0.189684244879694,1.83310779109631,0.0667865427127229,9308,0.428094137169726,0.0253176112317677,285.912476206551
math_adj,Math,Adjusted,T2,0.734572392403404,0.1829107272825,4.0160159183495,5.91902594473241e-05,11339,0.430122984092601,0.0225720570648612,363.114023100167
math_adj,Math,Adjusted,T3,0.841646870613747,0.185555644742034,4.53581927827543,5.73802999683353e-06,13101,0.450040354673721,0.0217407254550197,428.503973108969
leng_unadj,Language,Unadjusted,All same sample,0.159048196239111,0.0482899383479267,3.29360942839016,0.000989098324092919,34339,0.430512560334692,0.0108034821702025,1587.97673077345
leng_unadj,Language,Unadjusted,T1,0.167261148314827,0.0924225371235725,1.80974417626291,0.0703354684205493,9533,0.419946120149788,0.0196688499030011,455.857615112435
leng_unadj,Language,Unadjusted,T2,0.0977660851996357,0.0827144706475771,1.18197075353585,0.237217305702384,11549,0.433126108958257,0.0184522141242121,550.97482616877
leng_unadj,Language,Unadjusted,T3,0.195593202275183,0.0766316684543134,2.55238083967586,0.0106989500000925,13257,0.436696762160258,0.0179361569989388,592.790384341913
leng_adj,Language,Adjusted,All same sample,0.791037729532466,0.130321145383676,6.06991081304255,1.279813043591e-09,34325,0.425723759318521,0.0120168856723044,1255.08147170353
leng_adj,Language,Adjusted,T1,0.823089085788381,0.245425662007878,3.35372054843214,0.00079732843587416,9527,0.429165062384936,0.0225976620706644,360.679699689544
leng_adj,Language,Adjusted,T2,0.528779465848425,0.224631303959125,2.35398832009916,0.0185731946700034,11544,0.435210912929485,0.02001585432776,472.771502307706
leng_adj,Language,Adjusted,T3,0.95676989407792,0.208681738991236,4.58482806738591,4.5436016023151e-06,13254,0.416346582939177,0.019889739374093,438.17926702932
stem_unadj,STEM,Unadjusted,All same sample,0.324236162503255,0.0758242817996351,4.27615210863514,1.90151326829269e-05,48341,0.484268621479112,0.00989924006109353,2393.14463333121
stem_unadj,STEM,Unadjusted,T1,0.392204752837621,0.122305889568603,3.20675279188112,0.00134242300902037,15987,0.484655178933026,0.0168655037716878,825.785170703572
stem_unadj,STEM,Unadjusted,T2,0.302678848734004,0.131711968735195,2.29803602239471,0.0215597389914368,16133,0.480298738195793,0.0173487061513203,766.458613479803
stem_unadj,STEM,Unadjusted,T3,0.275099033178538,0.141924960971401,1.93834143969906,0.0525815798092768,16221,0.488364386812408,0.0170800949085893,817.536992816141
stem_adj,STEM,Adjusted,All same sample,0.671190212718295,0.10741291669486,6.24869180887266,4.13904708076097e-10,48340,0.471122545330377,0.0101444526566194,2156.80328349741
stem_adj,STEM,Adjusted,T1,0.77744721971449,0.182431294463825,4.26158912043817,2.02978377862061e-05,15986,0.454686277520622,0.0172707014606049,693.112514859357
stem_adj,STEM,Adjusted,T2,0.652526675832772,0.182662221443909,3.5723132603703,0.000353841787140055,16133,0.478941115554039,0.0180822993858866,701.547258482913
stem_adj,STEM,Adjusted,T3,0.590311444935174,0.194325005175194,3.03775339876089,0.00238348916498861,16221,0.48120259904617,0.0171923557074316,783.402859779443
