group,outcome_group,adjustment,beta,se,p_value,n_obs,fs_beta,fs_se,fs_f
All same sample,Math,Adjusted,0.68790251270293,0.112814853418566,1.07656872385369e-09,33748,0.437829142966999,0.0133817067984768,1070.49911304873
All same sample,Language,Adjusted,0.791037729532466,0.130321145383676,1.279813043591e-09,34325,0.425723759318521,0.0120168856723044,1255.08147170353
All same sample,STEM,Adjusted,0.671190212718295,0.10741291669486,4.13904708076097e-10,48340,0.471122545330377,0.0101444526566194,2156.80328349741
T1,Math,Adjusted,0.347711667137187,0.189684244879694,0.0667865427127229,9308,0.428094137169726,0.0253176112317677,285.912476206551
T1,Language,Adjusted,0.823089085788381,0.245425662007878,0.00079732843587416,9527,0.429165062384936,0.0225976620706644,360.679699689544
T1,STEM,Adjusted,0.77744721971449,0.182431294463825,2.02978377862061e-05,15986,0.454686277520622,0.0172707014606049,693.112514859357
T2,Math,Adjusted,0.734572392403404,0.1829107272825,5.91902594473241e-05,11339,0.430122984092601,0.0225720570648612,363.114023100167
T2,Language,Adjusted,0.528779465848425,0.224631303959125,0.0185731946700034,11544,0.435210912929485,0.02001585432776,472.771502307706
T2,STEM,Adjusted,0.652526675832772,0.182662221443909,0.000353841787140055,16133,0.478941115554039,0.0180822993858866,701.547258482913
T3,Math,Adjusted,0.841646870613747,0.185555644742034,5.73802999683353e-06,13101,0.450040354673721,0.0217407254550197,428.503973108969
T3,Language,Adjusted,0.95676989407792,0.208681738991236,4.5436016023151e-06,13254,0.416346582939177,0.019889739374093,438.17926702932
T3,STEM,Adjusted,0.590311444935174,0.194325005175194,0.00238348916498861,16221,0.48120259904617,0.0171923557074316,783.402859779443
