spec,outcome_group,adjustment,group,beta,se,zstat,p_value,n_obs,fs_beta,fs_se,fs_f
math_unadj,Math,Unadjusted,All,0.245736354592734,0.0289762469648853,8.48061361744081,2.24009363865415e-17,90928,0.423987425440065,0.00695769848139732,3713.42574972846
math_unadj,Math,Unadjusted,Q1,0.0548522407553616,0.0832709960115198,0.6587196428847,0.510075816882031,5634,0.410715204686062,0.0273820364005079,224.983192227025
math_unadj,Math,Unadjusted,Q2,0.17984462566123,0.0755190610278895,2.38144679254967,0.0172447818035281,7426,0.39790142566205,0.0247237068994205,259.014345224622
math_unadj,Math,Unadjusted,Q3,0.154635259697836,0.0726549824779733,2.1283503818161,0.0333080437799175,7822,0.453245286123597,0.0246247057324225,338.785249639248
math_unadj,Math,Unadjusted,Q4,0.348809953916813,0.0925123294236169,3.77041585797285,0.000162975745394998,7486,0.429782822565592,0.0238976976418667,323.434232024208
math_unadj,Math,Unadjusted,Q5,0.289082609665492,0.117514350669823,2.45997708380076,0.0138945887468433,5394,0.433959325650668,0.0335781606619584,167.026063539155
math_adj,Math,Adjusted,All,0.841014281537127,0.0714929652419654,11.7635949032292,6.01189058597797e-32,90906,0.429634802951785,0.00807887030836178,2828.11871868551
math_adj,Math,Adjusted,Q1,0.201636896281018,0.215080792957728,0.937493736693855,0.348504644035706,5630,0.399113417730809,0.0326433054244932,149.487335178987
math_adj,Math,Adjusted,Q2,0.692464542265923,0.184904215691439,3.74499055998529,0.000180400558790585,7421,0.403564672741675,0.0271200038612978,221.435266819707
math_adj,Math,Adjusted,Q3,0.582219743624785,0.177838297189563,3.27387156099554,0.00106084818358944,7819,0.465872084644892,0.0263219517462206,313.254413652703
math_adj,Math,Adjusted,Q4,0.860414295011417,0.219274330538841,3.92391709917458,8.71207255607556e-05,7485,0.436215195778122,0.0266751622867121,267.416031928274
math_adj,Math,Adjusted,Q5,0.904717604336301,0.256311292947279,3.52976099466048,0.000415935228252531,5393,0.466880064074834,0.0355030360123925,172.933715996257
leng_unadj,Language,Unadjusted,All,0.189890442108856,0.0293068200000873,6.47939428802886,9.20915613494466e-11,92495,0.430295355561427,0.00630455919159418,4658.26149071523
leng_unadj,Language,Unadjusted,Q1,0.231495891619277,0.109059856571878,2.12264988141356,0.0337832017158519,5782,0.418787750099139,0.0243163612746944,296.613398584676
leng_unadj,Language,Unadjusted,Q2,0.0811155802870634,0.0996821672236807,0.813742142112992,0.415792686565442,7593,0.428292699118145,0.0227554162183794,354.25156324429
leng_unadj,Language,Unadjusted,Q3,0.0290137652985259,0.0916564977670737,0.316548919120371,0.751585900447376,7951,0.455083591422461,0.0223919541209455,413.045944428588
