group,outcome_group,adjustment,beta,se,p_value,n_obs,fs_beta,fs_se,fs_f
All,Math,Adjusted,0.841014281537127,0.0714929652419654,6.01189058597797e-32,90906,0.429634802951785,0.00807887030836178,2828.11871868551
All,Language,Adjusted,0.835290543628061,0.0821522944507255,2.76679840419298e-24,92472,0.419561872470317,0.00700269870649349,3589.7247367016
All,STEM,Adjusted,0.674392630839717,0.0654371966260379,6.62323702872311e-25,135898,0.452606273109971,0.00637586413645561,5039.2166438811
Q1,Math,Adjusted,0.201636896281018,0.215080792957728,0.348504644035706,5630,0.399113417730809,0.0326433054244932,149.487335178987
Q1,Language,Adjusted,0.944182059942922,0.279579207859713,0.000732400134118271,5778,0.425065991384835,0.0261927079176278,263.361276614281
Q1,STEM,Adjusted,0.324434782069474,0.231050319071956,0.160267130597344,10595,0.442888717482621,0.0217109482999563,416.132511294076
Q2,Math,Adjusted,0.692464542265923,0.184904215691439,0.000180400558790585,7421,0.403564672741675,0.0271200038612978,221.435266819707
Q2,Language,Adjusted,0.547382164994532,0.27302647055762,0.0449771092008094,7588,0.423488729041656,0.0247812722918379,292.036081977693
Q2,STEM,Adjusted,0.832324597357684,0.204867918250439,4.85005366047567e-05,11550,0.482718530382426,0.0201334311212472,574.847113200686
Q3,Math,Adjusted,0.582219743624785,0.177838297189563,0.00106084818358944,7819,0.465872084644892,0.0263219517462206,313.254413652703
Q3,Language,Adjusted,0.579801276515234,0.244361839594434,0.0176578293432915,7948,0.456065126716272,0.0232950738829136,383.288284985911
Q3,STEM,Adjusted,0.690584823353298,0.219179332676777,0.00162837724518877,10716,0.486586111180977,0.0214506660471428,514.562169437736
Q4,Math,Adjusted,0.860414295011417,0.219274330538841,8.71207255607556e-05,7485,0.436215195778122,0.0266751622867121,267.416031928274
Q4,Language,Adjusted,1.45091049489987,0.27342414805945,1.11783215178178e-07,7582,0.417321379815427,0.0234324877283354,317.179034503067
Q4,STEM,Adjusted,0.32558557115372,0.266754337377241,0.222258485765401,9298,0.454848628519597,0.0236219013598049,370.769563594804
Q5,Math,Adjusted,0.904717604336301,0.256311292947279,0.000415935228252531,5393,0.466880064074834,0.0355030360123925,172.933715996257
Q5,Language,Adjusted,0.308825130692916,0.32054648831754,0.335330169276338,5429,0.400504827445057,0.0364630868028118,120.644811089734
Q5,STEM,Adjusted,1.49101880325888,0.32511417970536,4.51518160577542e-06,6181,0.496748408288205,0.0288170298753275,297.149179135962
