spec,outcome_group,adjustment,beta,se,p_value,n_obs,fs_beta,fs_se
math_unadj,Math,Unadjusted,0.245736354593412,0.0289762469649014,2.24009363829465e-17,90928,0.423987425439869,0.00695769848139934
math_adj,Math,Adjusted,0.841014281542343,0.0714929652423546,6.0118905853427e-32,90906,0.429634802951322,0.00807887030839906
leng_unadj,Language,Unadjusted,0.18989044210865,0.0293068200000749,9.20915613520571e-11,92495,0.430295355561412,0.00630455919159352
leng_adj,Language,Adjusted,0.8352905436276,0.0821522944506779,2.76679840418527e-24,92472,0.419561872470496,0.0070026987064919
stem_unadj,STEM,Unadjusted,0.34892611576374,0.0457596222203252,2.43662747255517e-14,135916,0.470953525412219,0.00594352797925807
stem_adj,STEM,Adjusted,0.674392630865416,0.0654371966279745,6.62323702267936e-25,135898,0.452606273107971,0.00637586413651482
progcert_unadj,Program-certified years,Unadjusted,0.0970503011384953,0.0717448148206121,0.176146634346603,135916,0.416881629780059,0.00554613309465333
progcert_adj,Program-certified years,Adjusted,0.787624241396574,0.156859997446276,5.13516646493997e-07,135898,0.290299678081294,0.0235096928660886
instcert_unadj,Institution-certified years,Unadjusted,0.0676238575972672,0.0497796281766818,0.174316340406054,135916,0.420052137929197,0.00570180250994895
instcert_adj,Institution-certified years,Adjusted,0.680136733282384,0.0954499738331296,1.03640877283215e-12,135898,0.410097617993156,0.00686476961250322
