spec,group,outcome,treatment,instrument,risk_control,beta,se,zstat,p_value,n_obs,fs_beta,fs_se,fs_f,rc
math_unadj,all,z_year_math_max,d_math_unadj,z_math_unadj,expected_math_unadj,0.245736354593412,0.0289762469649014,8.48061361745948,2.24009363829465e-17,90928,0.423987425439869,0.00695769848139934,3713.42574972285,0
math_adj,all,z_year_math_max,d_math_adj,z_math_adj,expected_math_adj,0.841014281542343,0.0714929652423546,11.7635949032381,6.0118905853427e-32,90906,0.429634802951322,0.00807887030839906,2828.11871865333,0
leng_unadj,all,z_year_leng_max,d_leng_unadj,z_leng_unadj,expected_leng_unadj,0.18989044210865,0.0293068200000749,6.47939428802459,9.20915613520571e-11,92495,0.430295355561412,0.00630455919159352,4658.26149071587,0
leng_adj,all,z_year_leng_max,d_leng_adj,z_leng_adj,expected_leng_adj,0.8352905436276,0.0821522944506779,10.1675863006977,2.76679840418527e-24,92472,0.419561872470496,0.0070026987064919,3589.72473670628,0
stem_unadj,all,stem_enrollment_m1,d_stem_unadj,z_stem_unadj,expected_stem_unadj,0.34892611576374,0.0457596222203252,7.62519659982588,2.43662747255517e-14,135916,0.470953525412219,0.00594352797925807,6278.66745367212,0
stem_adj,all,stem_enrollment_m1,d_stem_adj,z_stem_adj,expected_stem_adj,0.674392630865416,0.0654371966279745,10.3059523576398,6.62323702267936e-25,135898,0.452606273107971,0.00637586413651482,5039.21664374296,0
progcert_unadj,all,program_certified_years_m1,d_progcert_unadj,z_progcert_unadj,expected_progcert_unadj,0.0970503011384953,0.0717448148206121,1.35271519455665,0.176146634346603,135916,0.416881629780059,0.00554613309465333,5649.95437952173,0
progcert_adj,all,program_certified_years_m1,d_progcert_adj,z_progcert_adj,expected_progcert_adj,0.787624241396574,0.156859997446276,5.02119249151672,5.13516646493997e-07,135898,0.290299678081294,0.0235096928660886,152.475195022885,0
instcert_unadj,all,inst_certified_years_m1,d_instcert_unadj,z_instcert_unadj,expected_instcert_unadj,0.0676238575972672,0.0497796281766818,1.3584644979117,0.174316340406054,135916,0.420052137929197,0.00570180250994895,5427.27786736307,0
instcert_adj,all,inst_certified_years_m1,d_instcert_adj,z_instcert_adj,expected_instcert_adj,0.680136733282384,0.0954499738331296,7.12558323453743,1.03640877283215e-12,135898,0.410097617993156,0.00686476961250322,3568.80287776707,0
