FEATURE,z_year_math_max,z_year_leng_max,admission_exam_taker,any_postulacion,high_paying_field_m1,high_inst_m1,log_program_income_clp_m1
teacher__age_under35_per100,0.171 (0.033),0.150 (0.027),0.107 (0.020),0.120 (0.026),0.030 (0.027),-0.051 (0.021),-0.018 (0.027)
teacher__age_35_49_per100,0.096 (0.030),0.092 (0.026),0.035 (0.020),0.031 (0.025),0.027 (0.026),0.014 (0.022),0.029 (0.025)
teacher__age_50plus_per100,0.034 (0.027),0.035 (0.023),-0.047 (0.022),-0.085 (0.026),0.077 (0.030),0.023 (0.023),0.003 (0.027)
counselor__age_under35_per100,-0.032 (0.028),-0.045 (0.022),-0.005 (0.017),-0.056 (0.019),0.030 (0.025),-0.012 (0.016),-0.008 (0.024)
counselor__age_35_49_per100,0.040 (0.025),0.023 (0.023),0.019 (0.016),0.033 (0.022),0.038 (0.024),0.070 (0.021),0.043 (0.024)
counselor__age_50plus_per100,0.014 (0.023),0.005 (0.023),0.015 (0.017),-0.013 (0.026),-0.010 (0.031),0.030 (0.023),0.029 (0.031)
leadership__age_under35_per100,0.021 (0.030),0.012 (0.024),-0.019 (0.020),0.046 (0.026),-0.034 (0.025),-0.002 (0.025),0.009 (0.028)
leadership__age_35_49_per100,0.016 (0.025),-0.011 (0.020),0.014 (0.018),0.008 (0.022),-0.011 (0.022),0.044 (0.020),0.046 (0.022)
leadership__age_50plus_per100,0.037 (0.025),0.025 (0.023),0.023 (0.017),-0.008 (0.022),0.042 (0.023),0.004 (0.022),0.041 (0.024)
teacher__directory_university,0.084 (0.025),0.099 (0.024),0.082 (0.027),0.052 (0.032),-0.008 (0.035),-0.030 (0.025),0.052 (0.033)
teacher__directory_teaching,0.185 (0.031),0.180 (0.029),0.131 (0.027),0.022 (0.032),-0.048 (0.040),-0.077 (0.032),-0.023 (0.040)
counselor__directory_university,0.013 (0.022),0.003 (0.019),0.024 (0.019),0.040 (0.023),0.023 (0.023),-0.045 (0.021),0.003 (0.027)
counselor__directory_teaching,-0.003 (0.021),-0.042 (0.018),-0.003 (0.020),0.025 (0.023),0.039 (0.032),0.023 (0.019),0.031 (0.025)
leadership__directory_university,0.020 (0.021),0.014 (0.020),-0.035 (0.015),-0.017 (0.020),0.037 (0.020),-0.015 (0.016),0.023 (0.023)
leadership__directory_teaching,-0.023 (0.018),0.000 (0.018),0.045 (0.019),0.066 (0.023),-0.001 (0.035),0.027 (0.017),0.056 (0.026)
teacher__young_UG_HIGH_PREMIUM,0.116 (0.067),0.032 (0.053),0.020 (0.050),-0.134 (0.053),-0.025 (0.066),0.518 (0.062),0.168 (0.066)
teacher__young_ANY_HIGH_PREMIUM,-0.029 (0.067),0.032 (0.052),-0.002 (0.049),0.046 (0.051),0.006 (0.064),0.070 (0.058),0.040 (0.064)
teacher__young_ROLE_SPECIFIC_QUALIFICATION,0.012 (0.022),0.045 (0.022),0.051 (0.021),0.031 (0.026),-0.181 (0.033),-0.054 (0.023),-0.078 (0.028)
teacher__young_ROLE_SPECIFIC_MAGISTER,0.059 (0.023),0.050 (0.019),0.019 (0.013),-0.003 (0.018),-0.011 (0.020),0.004 (0.017),0.007 (0.022)
counselor__young_UG_HIGH_PREMIUM,-0.065 (0.082),0.038 (0.069),-0.078 (0.062),-0.046 (0.064),0.049 (0.090),0.058 (0.062),0.039 (0.075)
counselor__young_ANY_HIGH_PREMIUM,0.139 (0.108),0.076 (0.077),0.032 (0.053),-0.001 (0.059),0.020 (0.086),-0.029 (0.063),-0.069 (0.076)
counselor__young_ROLE_SPECIFIC_QUALIFICATION,-0.117 (0.076),-0.041 (0.060),0.067 (0.052),0.084 (0.062),-0.090 (0.067),0.034 (0.051),-0.020 (0.066)
counselor__young_ROLE_SPECIFIC_MAGISTER,0.054 (0.066),0.029 (0.049),-0.030 (0.027),-0.076 (0.059),-0.019 (0.040),-0.069 (0.027),-0.112 (0.030)
leadership__young_UG_HIGH_PREMIUM,0.083 (0.071),0.013 (0.064),0.096 (0.052),0.133 (0.071),0.101 (0.090),0.035 (0.066),-0.003 (0.071)
leadership__young_ANY_HIGH_PREMIUM,0.042 (0.075),0.077 (0.057),-0.016 (0.055),-0.029 (0.070),0.049 (0.082),0.011 (0.054),0.073 (0.070)
leadership__young_ROLE_SPECIFIC_QUALIFICATION,0.054 (0.120),-0.039 (0.098),0.070 (0.068),-0.022 (0.106),-0.089 (0.118),0.100 (0.098),-0.033 (0.094)
leadership__young_ROLE_SPECIFIC_MAGISTER,-0.118 (0.122),-0.017 (0.098),-0.077 (0.066),0.036 (0.100),0.056 (0.108),-0.101 (0.095),0.034 (0.094)
