FEATURE,z_year_math_max,z_year_leng_max,admission_exam_taker,any_postulacion,high_paying_field_m1,high_inst_m1,log_program_income_clp_m1
teacher__per100_enrolled,0.114 (0.031),0.085 (0.029),0.032 (0.024),0.032 (0.030),0.036 (0.036),0.062 (0.022),-0.009 (0.032)
teacher__age_under35_share,0.069 (0.033),0.057 (0.030),0.086 (0.026),0.118 (0.036),0.070 (0.037),-0.008 (0.023),0.065 (0.035)
teacher__UG_HIGH_PREMIUM,0.135 (0.056),0.055 (0.041),-0.012 (0.036),-0.042 (0.046),-0.023 (0.053),0.206 (0.047),0.064 (0.054)
teacher__ANY_HIGH_PREMIUM,-0.014 (0.058),0.044 (0.038),0.003 (0.034),0.005 (0.045),0.032 (0.048),0.071 (0.045),0.046 (0.051)
teacher__ROLE_SPECIFIC_QUALIFICATION,-0.035 (0.030),-0.023 (0.028),0.070 (0.025),0.044 (0.033),-0.161 (0.036),-0.048 (0.022),-0.058 (0.032)
teacher__ROLE_SPECIFIC_MAGISTER,0.073 (0.020),0.049 (0.018),0.004 (0.015),0.012 (0.021),0.030 (0.024),0.007 (0.014),0.024 (0.022)
teacher__balanced_index,0.049 (0.025),0.050 (0.023),0.049 (0.023),-0.017 (0.030),-0.049 (0.032),-0.006 (0.018),0.025 (0.030)
counselor__per100_enrolled,0.054 (0.027),0.046 (0.030),0.022 (0.017),-0.019 (0.033),-0.006 (0.040),0.043 (0.018),0.021 (0.035)
counselor__age_under35_share,0.008 (0.021),-0.036 (0.018),0.025 (0.017),0.017 (0.023),0.022 (0.029),-0.034 (0.015),-0.022 (0.023)
counselor__UG_HIGH_PREMIUM,-0.042 (0.020),-0.016 (0.020),-0.009 (0.024),-0.065 (0.026),-0.013 (0.029),-0.009 (0.019),-0.023 (0.022)
counselor__ANY_HIGH_PREMIUM,0.018 (0.025),0.021 (0.020),0.012 (0.020),0.042 (0.027),0.025 (0.030),0.022 (0.018),0.012 (0.029)
counselor__ROLE_SPECIFIC_QUALIFICATION,-0.014 (0.025),0.003 (0.023),-0.006 (0.022),-0.001 (0.028),0.049 (0.030),-0.017 (0.019),0.049 (0.030)
counselor__ROLE_SPECIFIC_MAGISTER,-0.014 (0.021),0.005 (0.018),0.017 (0.018),0.010 (0.026),-0.043 (0.024),-0.014 (0.016),-0.037 (0.024)
counselor__balanced_index,0.013 (0.021),-0.002 (0.019),0.025 (0.022),0.012 (0.028),-0.003 (0.027),-0.024 (0.016),0.025 (0.026)
leadership__per100_enrolled,0.050 (0.025),0.007 (0.024),0.022 (0.019),0.047 (0.025),0.057 (0.024),0.013 (0.019),0.056 (0.025)
leadership__age_under35_share,0.016 (0.018),0.013 (0.016),-0.011 (0.018),0.020 (0.023),0.020 (0.022),-0.017 (0.012),0.011 (0.020)
leadership__UG_HIGH_PREMIUM,-0.018 (0.018),-0.004 (0.016),-0.008 (0.016),-0.019 (0.024),0.012 (0.024),0.036 (0.020),-0.005 (0.023)
leadership__ANY_HIGH_PREMIUM,0.013 (0.022),0.018 (0.018),0.019 (0.016),0.009 (0.021),0.031 (0.025),0.005 (0.015),0.049 (0.024)
leadership__ROLE_SPECIFIC_QUALIFICATION,0.029 (0.037),0.002 (0.030),0.019 (0.030),0.002 (0.036),-0.034 (0.044),0.021 (0.023),0.022 (0.045)
leadership__ROLE_SPECIFIC_MAGISTER,-0.013 (0.036),0.008 (0.029),0.012 (0.029),0.050 (0.035),0.071 (0.042),0.000 (0.024),0.027 (0.042)
leadership__balanced_index,0.041 (0.018),0.046 (0.017),0.003 (0.017),0.041 (0.022),-0.009 (0.025),-0.002 (0.013),0.014 (0.022)
school__composition_math_mean,0.557 (0.033),0.528 (0.027),0.316 (0.023),0.173 (0.029),0.098 (0.028),0.097 (0.022),0.266 (0.028)
school__log_enrolled,0.010 (0.031),-0.019 (0.027),0.021 (0.026),0.072 (0.033),0.065 (0.039),0.005 (0.022),-0.061 (0.034)
school__has_tp,-0.059 (0.054),-0.380 (0.049),-0.693 (0.050),-0.352 (0.064),-0.017 (0.065),-0.004 (0.038),0.015 (0.062)
school__has_artistic,-1.157 (0.229),0.291 (0.366),0.229 (0.146),0.289 (0.225),-1.762 (0.459),1.082 (0.475),0.174 (0.415)
