FEATURE,z_year_math_max,z_year_leng_max,admission_exam_taker,any_postulacion,high_paying_field_m1,high_inst_m1,log_program_income_clp_m1
teacher__age_under35_per100,0.204 (0.037),0.155 (0.032),0.129 (0.025),0.122 (0.033),0.056 (0.032),0.051 (0.020),0.069 (0.031)
teacher__age_35_49_per100,0.055 (0.031),0.041 (0.027),-0.001 (0.020),0.019 (0.025),-0.010 (0.028),0.038 (0.018),-0.014 (0.026)
teacher__age_50plus_per100,-0.010 (0.031),0.005 (0.029),-0.041 (0.027),-0.073 (0.032),0.012 (0.036),0.019 (0.023),-0.030 (0.034)
teacher__UG_HIGH_PREMIUM,0.124 (0.066),0.051 (0.048),-0.014 (0.037),-0.043 (0.046),-0.016 (0.053),0.202 (0.049),0.066 (0.057)
teacher__ANY_HIGH_PREMIUM,0.107 (0.067),0.153 (0.044),0.071 (0.034),0.043 (0.044),0.049 (0.048),0.092 (0.047),0.099 (0.053)
teacher__ROLE_SPECIFIC_QUALIFICATION,-0.058 (0.035),-0.023 (0.033),0.060 (0.027),0.027 (0.034),-0.127 (0.038),-0.062 (0.023),-0.049 (0.036)
teacher__ROLE_SPECIFIC_MAGISTER,0.114 (0.023),0.085 (0.020),0.027 (0.015),0.020 (0.021),0.030 (0.023),0.016 (0.014),0.040 (0.022)
teacher__balanced_index,0.188 (0.027),0.174 (0.025),0.125 (0.023),0.023 (0.028),-0.046 (0.030),0.025 (0.017),0.083 (0.029)
counselor__age_under35_per100,-0.012 (0.024),-0.025 (0.021),0.027 (0.015),-0.015 (0.017),0.012 (0.021),-0.016 (0.012),-0.005 (0.023)
counselor__age_35_49_per100,0.061 (0.025),0.048 (0.024),0.007 (0.017),0.018 (0.025),0.009 (0.026),0.047 (0.016),0.017 (0.024)
counselor__age_50plus_per100,0.032 (0.025),0.048 (0.027),0.007 (0.018),-0.030 (0.029),-0.019 (0.034),0.042 (0.018),0.020 (0.030)
counselor__UG_HIGH_PREMIUM,-0.036 (0.022),-0.012 (0.023),-0.007 (0.026),-0.062 (0.027),-0.012 (0.029),-0.009 (0.019),-0.021 (0.023)
counselor__ANY_HIGH_PREMIUM,0.007 (0.028),0.011 (0.023),0.008 (0.021),0.039 (0.027),0.023 (0.031),0.018 (0.018),0.007 (0.030)
counselor__ROLE_SPECIFIC_QUALIFICATION,-0.013 (0.027),0.006 (0.025),-0.005 (0.024),-0.007 (0.029),0.047 (0.031),-0.018 (0.020),0.050 (0.030)
counselor__ROLE_SPECIFIC_MAGISTER,-0.008 (0.022),0.012 (0.020),0.022 (0.020),0.012 (0.026),-0.040 (0.024),-0.012 (0.017),-0.033 (0.025)
counselor__balanced_index,0.021 (0.024),0.005 (0.023),0.030 (0.023),0.018 (0.028),0.004 (0.027),-0.020 (0.016),0.030 (0.027)
leadership__age_under35_per100,0.018 (0.025),0.001 (0.019),-0.013 (0.016),0.040 (0.022),0.021 (0.021),-0.010 (0.018),0.002 (0.022)
leadership__age_35_49_per100,0.034 (0.026),0.008 (0.021),0.017 (0.018),0.036 (0.023),0.009 (0.021),0.018 (0.016),0.047 (0.021)
leadership__age_50plus_per100,0.071 (0.025),0.050 (0.024),0.050 (0.017),0.023 (0.023),0.074 (0.022),0.018 (0.017),0.061 (0.024)
leadership__UG_HIGH_PREMIUM,-0.022 (0.019),-0.005 (0.017),-0.009 (0.017),-0.023 (0.025),0.015 (0.025),0.034 (0.020),-0.005 (0.024)
leadership__ANY_HIGH_PREMIUM,0.044 (0.026),0.047 (0.021),0.037 (0.017),0.019 (0.021),0.041 (0.025),0.009 (0.015),0.063 (0.025)
leadership__ROLE_SPECIFIC_QUALIFICATION,0.035 (0.039),0.010 (0.036),0.023 (0.032),-0.002 (0.037),-0.036 (0.045),0.024 (0.023),0.025 (0.046)
leadership__ROLE_SPECIFIC_MAGISTER,-0.007 (0.039),0.013 (0.034),0.016 (0.031),0.051 (0.036),0.081 (0.043),-0.002 (0.024),0.031 (0.043)
leadership__balanced_index,0.035 (0.020),0.040 (0.019),0.000 (0.018),0.042 (0.022),-0.017 (0.025),-0.002 (0.013),0.012 (0.022)
school__log_enrolled,0.163 (0.036),0.132 (0.032),0.110 (0.026),0.124 (0.033),0.095 (0.039),0.039 (0.022),0.018 (0.034)
school__has_tp,-0.551 (0.053),-0.844 (0.051),-0.977 (0.049),-0.520 (0.060),-0.109 (0.063),-0.085 (0.036),-0.223 (0.059)
school__has_artistic,-1.443 (0.226),0.011 (0.299),0.114 (0.157),0.206 (0.247),-1.763 (0.445),1.021 (0.453),0.068 (0.368)
