FEATURE,z_year_math_max,z_year_leng_max,admission_exam_taker,any_postulacion,high_paying_field_m1,high_inst_m1,log_program_income_clp_m1
teacher__age_under35_per100,0.239 (0.046),0.174 (0.042),0.151 (0.035),0.190 (0.044),0.080 (0.042),0.094 (0.027),0.100 (0.041)
teacher__age_35_49_per100,0.054 (0.035),0.036 (0.032),0.008 (0.026),-0.020 (0.030),0.023 (0.036),0.022 (0.022),0.005 (0.032)
teacher__age_50plus_per100,0.054 (0.039),0.054 (0.037),-0.010 (0.032),-0.047 (0.039),0.026 (0.041),0.026 (0.027),-0.010 (0.036)
teacher__UG_HIGH_PREMIUM,0.161 (0.085),0.071 (0.064),-0.025 (0.051),-0.010 (0.062),-0.084 (0.071),0.215 (0.065),0.036 (0.075)
teacher__ANY_HIGH_PREMIUM,0.126 (0.089),0.183 (0.060),0.127 (0.048),0.061 (0.062),0.168 (0.066),0.081 (0.063),0.163 (0.074)
teacher__ROLE_SPECIFIC_QUALIFICATION,-0.095 (0.044),-0.027 (0.042),0.038 (0.035),0.005 (0.044),-0.111 (0.044),-0.078 (0.030),-0.067 (0.042)
teacher__ROLE_SPECIFIC_MAGISTER,0.113 (0.029),0.096 (0.026),0.055 (0.021),0.057 (0.028),0.033 (0.029),0.020 (0.019),0.050 (0.027)
teacher__balanced_index,0.184 (0.034),0.181 (0.035),0.139 (0.032),0.025 (0.039),-0.000 (0.041),0.046 (0.024),0.114 (0.039)
counselor__age_under35_per100,0.005 (0.034),-0.020 (0.031),0.043 (0.021),-0.024 (0.022),0.012 (0.025),-0.017 (0.014),-0.010 (0.029)
counselor__age_35_49_per100,0.049 (0.029),0.060 (0.031),0.015 (0.024),0.015 (0.035),0.015 (0.034),0.060 (0.021),0.014 (0.029)
counselor__age_50plus_per100,0.031 (0.030),0.036 (0.032),0.038 (0.028),-0.042 (0.042),-0.036 (0.045),0.037 (0.022),0.006 (0.037)
counselor__UG_HIGH_PREMIUM,-0.025 (0.026),-0.014 (0.030),0.013 (0.032),-0.074 (0.032),-0.023 (0.041),-0.009 (0.022),-0.030 (0.027)
counselor__ANY_HIGH_PREMIUM,-0.026 (0.038),-0.005 (0.031),0.012 (0.031),0.060 (0.038),0.023 (0.040),-0.021 (0.025),0.015 (0.038)
counselor__ROLE_SPECIFIC_QUALIFICATION,-0.019 (0.038),0.001 (0.035),-0.027 (0.035),-0.054 (0.040),0.045 (0.041),0.018 (0.026),0.028 (0.040)
counselor__ROLE_SPECIFIC_MAGISTER,-0.022 (0.031),-0.004 (0.030),0.047 (0.027),0.059 (0.035),-0.036 (0.031),-0.040 (0.023),-0.017 (0.032)
counselor__balanced_index,0.071 (0.031),0.041 (0.033),0.066 (0.032),0.058 (0.040),-0.020 (0.039),-0.016 (0.023),0.050 (0.038)
leadership__age_under35_per100,0.018 (0.030),0.002 (0.025),-0.031 (0.022),0.022 (0.029),0.016 (0.028),-0.018 (0.023),-0.004 (0.028)
leadership__age_35_49_per100,0.047 (0.031),0.002 (0.027),0.035 (0.025),0.032 (0.031),0.019 (0.027),0.026 (0.020),0.054 (0.026)
leadership__age_50plus_per100,0.059 (0.031),0.033 (0.032),0.048 (0.023),0.024 (0.028),0.069 (0.029),0.012 (0.020),0.050 (0.031)
leadership__UG_HIGH_PREMIUM,-0.013 (0.025),0.003 (0.023),-0.021 (0.023),-0.027 (0.035),0.009 (0.029),0.043 (0.028),0.021 (0.031)
leadership__ANY_HIGH_PREMIUM,0.074 (0.034),0.067 (0.027),0.042 (0.022),0.023 (0.028),0.004 (0.032),0.020 (0.019),0.054 (0.030)
leadership__ROLE_SPECIFIC_QUALIFICATION,-0.013 (0.057),-0.110 (0.048),-0.006 (0.044),-0.049 (0.060),0.012 (0.066),0.022 (0.033),0.048 (0.069)
leadership__ROLE_SPECIFIC_MAGISTER,0.006 (0.058),0.113 (0.048),0.045 (0.043),0.090 (0.059),0.030 (0.063),-0.020 (0.035),-0.005 (0.066)
leadership__balanced_index,0.027 (0.025),0.043 (0.026),-0.042 (0.023),-0.001 (0.027),-0.013 (0.030),0.000 (0.016),0.025 (0.026)
school__log_enrolled,0.199 (0.044),0.120 (0.039),0.133 (0.036),0.114 (0.043),0.136 (0.051),0.052 (0.026),0.032 (0.043)
school__has_tp,-0.697 (0.074),-0.891 (0.074),-1.211 (0.076),-0.446 (0.089),-0.293 (0.095),-0.151 (0.050),-0.372 (0.084)
