FEATURE,z_year_math_max,z_year_leng_max,admission_exam_taker,any_postulacion,high_paying_field_m1,high_inst_m1,log_program_income_clp_m1
teacher__age_under35_per100,0.175 (0.061),0.141 (0.057),0.136 (0.043),0.020 (0.054),0.038 (0.049),0.001 (0.030),0.027 (0.050)
teacher__age_35_49_per100,0.056 (0.066),0.070 (0.055),-0.029 (0.038),0.071 (0.047),-0.044 (0.042),0.053 (0.032),-0.037 (0.047)
teacher__age_50plus_per100,-0.048 (0.049),-0.007 (0.051),-0.051 (0.047),-0.079 (0.051),-0.012 (0.054),-0.002 (0.033),-0.036 (0.054)
teacher__UG_HIGH_PREMIUM,0.084 (0.099),0.063 (0.077),-0.004 (0.064),-0.071 (0.072),0.066 (0.087),0.159 (0.062),0.120 (0.086)
teacher__ANY_HIGH_PREMIUM,0.073 (0.095),0.100 (0.071),-0.013 (0.054),-0.025 (0.065),-0.022 (0.071),0.114 (0.065),0.048 (0.072)
teacher__ROLE_SPECIFIC_QUALIFICATION,0.030 (0.057),0.015 (0.055),0.101 (0.045),0.058 (0.053),-0.173 (0.065),-0.039 (0.031),-0.032 (0.060)
teacher__ROLE_SPECIFIC_MAGISTER,0.124 (0.044),0.062 (0.036),-0.031 (0.028),-0.044 (0.033),0.015 (0.042),0.015 (0.020),0.000 (0.042)
teacher__balanced_index,0.174 (0.048),0.152 (0.040),0.122 (0.037),0.032 (0.041),-0.101 (0.047),0.002 (0.025),0.022 (0.047)
counselor__age_under35_per100,-0.044 (0.035),-0.026 (0.029),0.006 (0.029),0.001 (0.034),0.000 (0.042),-0.019 (0.020),0.024 (0.038)
counselor__age_35_49_per100,0.078 (0.054),0.027 (0.046),-0.012 (0.034),0.020 (0.037),0.019 (0.037),0.033 (0.025),0.053 (0.037)
counselor__age_50plus_per100,0.017 (0.053),0.065 (0.060),-0.043 (0.037),-0.031 (0.043),0.021 (0.044),0.068 (0.034),0.065 (0.045)
counselor__UG_HIGH_PREMIUM,-0.058 (0.046),-0.005 (0.044),-0.049 (0.058),-0.070 (0.055),0.023 (0.042),0.013 (0.028),0.011 (0.041)
counselor__ANY_HIGH_PREMIUM,0.080 (0.042),0.041 (0.039),0.020 (0.030),0.016 (0.039),0.009 (0.048),0.069 (0.026),-0.020 (0.047)
counselor__ROLE_SPECIFIC_QUALIFICATION,-0.024 (0.040),-0.005 (0.038),0.000 (0.037),0.033 (0.044),0.050 (0.047),-0.060 (0.027),0.100 (0.050)
counselor__ROLE_SPECIFIC_MAGISTER,0.020 (0.034),0.041 (0.030),-0.010 (0.032),-0.057 (0.036),-0.054 (0.035),0.024 (0.023),-0.070 (0.040)
counselor__balanced_index,-0.038 (0.041),-0.046 (0.037),0.003 (0.037),-0.005 (0.043),0.020 (0.039),-0.024 (0.022),0.022 (0.040)
leadership__age_under35_per100,0.049 (0.044),0.012 (0.030),0.043 (0.034),0.100 (0.045),0.079 (0.036),0.038 (0.021),0.081 (0.041)
leadership__age_35_49_per100,0.049 (0.043),0.044 (0.037),0.011 (0.033),0.066 (0.035),0.007 (0.041),0.009 (0.027),0.032 (0.037)
leadership__age_50plus_per100,0.069 (0.037),0.075 (0.036),0.074 (0.034),0.038 (0.041),0.058 (0.040),0.026 (0.034),0.066 (0.039)
leadership__UG_HIGH_PREMIUM,-0.044 (0.028),-0.017 (0.032),-0.022 (0.031),-0.041 (0.034),0.022 (0.052),0.004 (0.023),-0.081 (0.037)
leadership__ANY_HIGH_PREMIUM,-0.021 (0.043),0.017 (0.037),0.026 (0.030),0.000 (0.033),0.058 (0.040),-0.010 (0.022),0.058 (0.043)
leadership__ROLE_SPECIFIC_QUALIFICATION,0.089 (0.058),0.114 (0.057),0.009 (0.048),0.021 (0.048),-0.068 (0.058),0.027 (0.032),-0.004 (0.063)
leadership__ROLE_SPECIFIC_MAGISTER,-0.004 (0.056),-0.059 (0.052),0.022 (0.046),0.018 (0.046),0.119 (0.058),0.028 (0.032),0.083 (0.058)
leadership__balanced_index,0.071 (0.033),0.047 (0.030),0.086 (0.033),0.131 (0.040),-0.011 (0.047),-0.020 (0.024),-0.022 (0.040)
school__log_enrolled,0.161 (0.070),0.219 (0.060),0.140 (0.048),0.150 (0.054),0.101 (0.061),0.054 (0.040),0.096 (0.056)
school__has_tp,-0.381 (0.084),-0.869 (0.081),-0.845 (0.073),-0.592 (0.080),0.052 (0.083),0.030 (0.051),-0.027 (0.085)
school__has_artistic,-1.375 (0.375),0.045 (0.426),0.236 (0.394),0.197 (0.389),-1.350 (0.349),1.471 (0.431),0.784 (0.443)
