FEATURE,z_year_math_max,z_year_leng_max,admission_exam_taker,any_postulacion,high_paying_field_m1,high_inst_m1,log_program_income_clp_m1
teacher__age_under35_per100,0.129 (0.032),0.084 (0.028),0.087 (0.024),0.099 (0.032),0.042 (0.032),0.038 (0.020),0.033 (0.031)
teacher__age_35_49_per100,0.027 (0.027),0.015 (0.024),-0.017 (0.019),0.010 (0.025),-0.015 (0.028),0.034 (0.018),-0.027 (0.026)
teacher__age_50plus_per100,0.006 (0.028),0.021 (0.027),-0.032 (0.026),-0.068 (0.032),0.014 (0.036),0.021 (0.023),-0.022 (0.034)
teacher__UG_HIGH_PREMIUM,0.133 (0.056),0.059 (0.040),-0.009 (0.036),-0.041 (0.045),-0.014 (0.052),0.203 (0.047),0.070 (0.054)
teacher__ANY_HIGH_PREMIUM,-0.007 (0.057),0.044 (0.038),0.006 (0.033),0.007 (0.045),0.028 (0.048),0.073 (0.045),0.045 (0.050)
teacher__ROLE_SPECIFIC_QUALIFICATION,-0.048 (0.031),-0.013 (0.029),0.066 (0.026),0.031 (0.033),-0.125 (0.038),-0.060 (0.023),-0.044 (0.035)
teacher__ROLE_SPECIFIC_MAGISTER,0.072 (0.020),0.045 (0.018),0.003 (0.015),0.007 (0.020),0.022 (0.023),0.009 (0.014),0.020 (0.022)
teacher__balanced_index,0.050 (0.024),0.042 (0.023),0.046 (0.022),-0.021 (0.028),-0.071 (0.032),0.001 (0.018),0.017 (0.029)
counselor__age_under35_per100,-0.013 (0.019),-0.026 (0.018),0.026 (0.014),-0.016 (0.017),0.011 (0.021),-0.016 (0.012),-0.006 (0.024)
counselor__age_35_49_per100,0.066 (0.022),0.052 (0.021),0.010 (0.016),0.020 (0.024),0.010 (0.025),0.048 (0.016),0.020 (0.024)
counselor__age_50plus_per100,0.030 (0.023),0.046 (0.025),0.006 (0.017),-0.031 (0.029),-0.019 (0.033),0.042 (0.018),0.019 (0.030)
counselor__UG_HIGH_PREMIUM,-0.039 (0.021),-0.015 (0.020),-0.009 (0.024),-0.063 (0.026),-0.013 (0.028),-0.010 (0.019),-0.022 (0.022)
counselor__ANY_HIGH_PREMIUM,0.016 (0.025),0.019 (0.020),0.013 (0.020),0.042 (0.027),0.024 (0.031),0.020 (0.018),0.011 (0.029)
counselor__ROLE_SPECIFIC_QUALIFICATION,-0.017 (0.025),0.003 (0.023),-0.007 (0.023),-0.008 (0.029),0.046 (0.031),-0.019 (0.019),0.048 (0.030)
counselor__ROLE_SPECIFIC_MAGISTER,-0.016 (0.021),0.005 (0.018),0.018 (0.018),0.010 (0.025),-0.041 (0.024),-0.014 (0.016),-0.037 (0.024)
counselor__balanced_index,0.016 (0.021),0.000 (0.019),0.027 (0.022),0.016 (0.028),0.003 (0.027),-0.021 (0.016),0.028 (0.027)
leadership__age_under35_per100,0.030 (0.020),0.012 (0.016),-0.007 (0.017),0.043 (0.022),0.023 (0.020),-0.008 (0.017),0.007 (0.021)
leadership__age_35_49_per100,0.018 (0.022),-0.008 (0.019),0.008 (0.018),0.031 (0.023),0.006 (0.021),0.015 (0.016),0.040 (0.021)
leadership__age_50plus_per100,0.026 (0.022),0.008 (0.022),0.025 (0.017),0.009 (0.023),0.066 (0.022),0.011 (0.016),0.040 (0.024)
leadership__UG_HIGH_PREMIUM,-0.020 (0.018),-0.004 (0.016),-0.008 (0.016),-0.023 (0.024),0.015 (0.025),0.034 (0.020),-0.004 (0.023)
leadership__ANY_HIGH_PREMIUM,0.014 (0.023),0.019 (0.018),0.020 (0.016),0.009 (0.020),0.036 (0.025),0.004 (0.015),0.049 (0.024)
leadership__ROLE_SPECIFIC_QUALIFICATION,0.023 (0.037),-0.001 (0.030),0.017 (0.030),-0.005 (0.036),-0.038 (0.045),0.022 (0.023),0.019 (0.045)
leadership__ROLE_SPECIFIC_MAGISTER,-0.009 (0.036),0.011 (0.029),0.015 (0.029),0.051 (0.035),0.080 (0.043),-0.003 (0.024),0.030 (0.042)
leadership__balanced_index,0.038 (0.018),0.042 (0.017),0.002 (0.017),0.043 (0.022),-0.017 (0.025),-0.001 (0.013),0.013 (0.022)
school__composition_math_mean,0.556 (0.033),0.527 (0.026),0.314 (0.023),0.173 (0.029),0.100 (0.028),0.094 (0.022),0.266 (0.028)
school__log_enrolled,0.007 (0.031),-0.016 (0.027),0.021 (0.026),0.075 (0.033),0.067 (0.040),0.013 (0.023),-0.057 (0.034)
school__has_tp,-0.061 (0.054),-0.379 (0.049),-0.700 (0.050),-0.367 (0.064),-0.022 (0.065),-0.002 (0.038),0.011 (0.062)
school__has_artistic,-1.139 (0.234),0.299 (0.331),0.285 (0.150),0.300 (0.256),-1.708 (0.453),1.072 (0.461),0.212 (0.387)
