FEATURE,z_year_math_max,z_year_leng_max,admission_exam_taker,any_postulacion,high_paying_field_m1,high_inst_m1,log_program_income_clp_m1
teacher__age_under35_per100,0.169 (0.040),0.107 (0.037),0.108 (0.033),0.166 (0.043),0.062 (0.042),0.079 (0.026),0.062 (0.039)
teacher__age_35_49_per100,0.017 (0.031),-0.000 (0.028),-0.015 (0.025),-0.032 (0.030),0.013 (0.036),0.015 (0.022),-0.015 (0.031)
teacher__age_50plus_per100,0.014 (0.036),0.014 (0.033),-0.035 (0.032),-0.061 (0.039),0.015 (0.040),0.017 (0.027),-0.032 (0.035)
teacher__UG_HIGH_PREMIUM,0.159 (0.075),0.070 (0.057),-0.026 (0.051),-0.011 (0.062),-0.085 (0.070),0.214 (0.064),0.035 (0.071)
teacher__ANY_HIGH_PREMIUM,-0.002 (0.079),0.058 (0.054),0.047 (0.048),0.018 (0.064),0.134 (0.064),0.054 (0.061),0.092 (0.069)
teacher__ROLE_SPECIFIC_QUALIFICATION,-0.087 (0.039),-0.019 (0.037),0.044 (0.034),0.008 (0.044),-0.109 (0.044),-0.076 (0.030),-0.063 (0.040)
teacher__ROLE_SPECIFIC_MAGISTER,0.070 (0.025),0.054 (0.023),0.029 (0.020),0.043 (0.028),0.022 (0.030),0.011 (0.018),0.026 (0.026)
teacher__balanced_index,0.063 (0.032),0.062 (0.032),0.064 (0.031),-0.017 (0.039),-0.033 (0.042),0.021 (0.024),0.047 (0.038)
counselor__age_under35_per100,-0.002 (0.026),-0.026 (0.025),0.039 (0.020),-0.027 (0.022),0.010 (0.025),-0.018 (0.015),-0.013 (0.030)
counselor__age_35_49_per100,0.056 (0.026),0.067 (0.027),0.020 (0.023),0.018 (0.034),0.017 (0.034),0.061 (0.021),0.018 (0.028)
counselor__age_50plus_per100,0.012 (0.026),0.017 (0.028),0.026 (0.026),-0.048 (0.041),-0.041 (0.044),0.033 (0.022),-0.005 (0.035)
counselor__UG_HIGH_PREMIUM,-0.025 (0.025),-0.015 (0.026),0.013 (0.029),-0.074 (0.032),-0.023 (0.040),-0.009 (0.023),-0.030 (0.027)
counselor__ANY_HIGH_PREMIUM,-0.015 (0.035),0.006 (0.027),0.019 (0.029),0.063 (0.037),0.026 (0.040),-0.018 (0.025),0.021 (0.037)
counselor__ROLE_SPECIFIC_QUALIFICATION,-0.026 (0.035),-0.005 (0.033),-0.032 (0.033),-0.056 (0.039),0.043 (0.041),0.017 (0.026),0.025 (0.039)
counselor__ROLE_SPECIFIC_MAGISTER,-0.037 (0.030),-0.019 (0.026),0.037 (0.026),0.054 (0.035),-0.040 (0.031),-0.043 (0.022),-0.026 (0.032)
counselor__balanced_index,0.053 (0.029),0.022 (0.027),0.055 (0.032),0.051 (0.040),-0.025 (0.039),-0.020 (0.023),0.039 (0.037)
leadership__age_under35_per100,0.028 (0.025),0.011 (0.021),-0.025 (0.023),0.026 (0.030),0.018 (0.028),-0.016 (0.022),0.002 (0.026)
leadership__age_35_49_per100,0.029 (0.027),-0.015 (0.024),0.024 (0.024),0.026 (0.030),0.014 (0.026),0.022 (0.019),0.045 (0.025)
leadership__age_50plus_per100,0.022 (0.028),-0.004 (0.029),0.025 (0.022),0.011 (0.029),0.059 (0.029),0.004 (0.020),0.029 (0.031)
leadership__UG_HIGH_PREMIUM,-0.013 (0.023),0.003 (0.021),-0.020 (0.022),-0.027 (0.034),0.009 (0.029),0.043 (0.027),0.022 (0.029)
leadership__ANY_HIGH_PREMIUM,0.041 (0.029),0.035 (0.024),0.022 (0.021),0.012 (0.028),-0.005 (0.031),0.013 (0.019),0.036 (0.029)
leadership__ROLE_SPECIFIC_QUALIFICATION,0.024 (0.053),-0.074 (0.041),0.017 (0.040),-0.036 (0.060),0.022 (0.065),0.030 (0.033),0.069 (0.067)
leadership__ROLE_SPECIFIC_MAGISTER,-0.034 (0.054),0.074 (0.041),0.020 (0.039),0.076 (0.058),0.019 (0.062),-0.029 (0.034),-0.028 (0.064)
leadership__balanced_index,0.028 (0.023),0.044 (0.023),-0.042 (0.022),-0.000 (0.027),-0.013 (0.030),0.000 (0.015),0.025 (0.026)
school__composition_math_mean,0.509 (0.035),0.497 (0.032),0.318 (0.029),0.174 (0.036),0.136 (0.035),0.107 (0.024),0.283 (0.033)
school__log_enrolled,0.039 (0.039),-0.036 (0.035),0.033 (0.035),0.060 (0.043),0.093 (0.051),0.018 (0.027),-0.057 (0.042)
school__has_tp,-0.139 (0.073),-0.346 (0.071),-0.862 (0.080),-0.255 (0.095),-0.144 (0.097),-0.033 (0.055),-0.063 (0.088)
