FEATURE,z_year_math_max,z_year_leng_max,admission_exam_taker,any_postulacion,high_paying_field_m1,high_inst_m1,log_program_income_clp_m1
teacher__age_under35_per100,0.092 (0.054),0.058 (0.050),0.093 (0.043),-0.005 (0.054),0.036 (0.050),-0.004 (0.030),0.003 (0.050)
teacher__age_35_49_per100,0.033 (0.057),0.047 (0.048),-0.041 (0.036),0.064 (0.047),-0.044 (0.043),0.052 (0.031),-0.044 (0.046)
teacher__age_50plus_per100,-0.001 (0.044),0.040 (0.046),-0.027 (0.045),-0.065 (0.050),-0.011 (0.055),0.000 (0.033),-0.022 (0.054)
teacher__UG_HIGH_PREMIUM,0.106 (0.080),0.085 (0.063),0.008 (0.061),-0.064 (0.070),0.067 (0.087),0.160 (0.061),0.127 (0.083)
teacher__ANY_HIGH_PREMIUM,-0.008 (0.073),0.020 (0.056),-0.056 (0.052),-0.049 (0.065),-0.024 (0.072),0.109 (0.063),0.023 (0.071)
teacher__ROLE_SPECIFIC_QUALIFICATION,0.007 (0.051),-0.009 (0.050),0.089 (0.043),0.051 (0.053),-0.174 (0.065),-0.040 (0.031),-0.039 (0.059)
teacher__ROLE_SPECIFIC_MAGISTER,0.098 (0.038),0.036 (0.031),-0.045 (0.027),-0.052 (0.033),0.014 (0.043),0.013 (0.020),-0.007 (0.042)
teacher__balanced_index,0.034 (0.042),0.012 (0.037),0.048 (0.038),-0.010 (0.043),-0.105 (0.048),-0.007 (0.025),-0.020 (0.047)
counselor__age_under35_per100,-0.047 (0.030),-0.029 (0.029),0.004 (0.028),0.000 (0.034),0.000 (0.042),-0.019 (0.020),0.023 (0.039)
counselor__age_35_49_per100,0.080 (0.044),0.029 (0.039),-0.012 (0.033),0.020 (0.037),0.019 (0.037),0.034 (0.025),0.053 (0.037)
counselor__age_50plus_per100,0.044 (0.050),0.092 (0.059),-0.029 (0.036),-0.023 (0.042),0.022 (0.044),0.069 (0.033),0.073 (0.045)
counselor__UG_HIGH_PREMIUM,-0.071 (0.042),-0.018 (0.036),-0.055 (0.054),-0.074 (0.053),0.022 (0.042),0.012 (0.028),0.007 (0.039)
counselor__ANY_HIGH_PREMIUM,0.080 (0.037),0.041 (0.033),0.020 (0.031),0.016 (0.039),0.009 (0.048),0.069 (0.026),-0.020 (0.048)
counselor__ROLE_SPECIFIC_QUALIFICATION,-0.024 (0.036),-0.005 (0.035),0.000 (0.035),0.033 (0.043),0.050 (0.047),-0.060 (0.027),0.100 (0.051)
counselor__ROLE_SPECIFIC_MAGISTER,0.020 (0.032),0.041 (0.027),-0.010 (0.030),-0.057 (0.035),-0.054 (0.035),0.024 (0.023),-0.070 (0.039)
counselor__balanced_index,-0.025 (0.035),-0.033 (0.030),0.010 (0.037),-0.001 (0.043),0.020 (0.039),-0.023 (0.022),0.026 (0.039)
leadership__age_under35_per100,0.055 (0.034),0.018 (0.024),0.046 (0.035),0.102 (0.046),0.079 (0.036),0.038 (0.021),0.083 (0.041)
leadership__age_35_49_per100,0.011 (0.040),0.006 (0.034),-0.009 (0.033),0.055 (0.036),0.006 (0.041),0.006 (0.027),0.021 (0.037)
leadership__age_50plus_per100,0.020 (0.034),0.025 (0.032),0.048 (0.033),0.023 (0.041),0.057 (0.040),0.023 (0.034),0.051 (0.039)
leadership__UG_HIGH_PREMIUM,-0.037 (0.028),-0.010 (0.031),-0.019 (0.030),-0.039 (0.034),0.023 (0.052),0.005 (0.023),-0.079 (0.038)
leadership__ANY_HIGH_PREMIUM,-0.047 (0.038),-0.009 (0.033),0.012 (0.029),-0.008 (0.032),0.057 (0.040),-0.012 (0.023),0.050 (0.042)
leadership__ROLE_SPECIFIC_QUALIFICATION,0.036 (0.055),0.062 (0.048),-0.018 (0.047),0.006 (0.047),-0.069 (0.059),0.024 (0.032),-0.020 (0.064)
leadership__ROLE_SPECIFIC_MAGISTER,0.019 (0.054),-0.036 (0.044),0.033 (0.044),0.025 (0.044),0.119 (0.058),0.029 (0.032),0.089 (0.058)
leadership__balanced_index,0.067 (0.030),0.043 (0.028),0.084 (0.031),0.130 (0.039),-0.011 (0.047),-0.020 (0.024),-0.023 (0.041)
school__composition_math_mean,0.516 (0.065),0.513 (0.047),0.270 (0.041),0.153 (0.043),0.014 (0.045),0.031 (0.036),0.154 (0.043)
school__log_enrolled,-0.038 (0.061),0.022 (0.053),0.036 (0.050),0.092 (0.057),0.096 (0.064),0.042 (0.042),0.037 (0.060)
school__has_tp,0.027 (0.095),-0.463 (0.080),-0.632 (0.075),-0.472 (0.086),0.063 (0.090),0.055 (0.055),0.095 (0.090)
school__has_artistic,-1.452 (0.379),-0.031 (0.437),0.196 (0.408),0.174 (0.399),-1.352 (0.349),1.467 (0.434),0.761 (0.437)
