FEATURE,z_year_math_max,z_year_leng_max,admission_exam_taker,higher_ed_enrolled_m1,stem_enrollment_m1,high_inst_m1,log_program_income_full_clp_m1
teacher__log1p_per1000,0.274 (0.080),0.152 (0.070),-1.039 (0.073),-0.884 (0.077),-0.256 (0.068),0.238 (0.069),-0.697 (0.071)
teacher__balanced_index,0.055 (0.016),0.058 (0.015),0.062 (0.016),0.007 (0.020),-0.028 (0.023),0.060 (0.016),0.076 (0.018)
counselor__log1p_per1000,0.053 (0.026),0.052 (0.026),0.010 (0.019),-0.035 (0.022),-0.047 (0.026),-0.029 (0.021),-0.032 (0.021)
counselor__ROLE_SPECIFIC_QUALIFICATION,-0.005 (0.014),0.014 (0.014),0.021 (0.013),0.030 (0.018),0.059 (0.022),-0.017 (0.015),0.027 (0.015)
leadership__log1p_per1000,0.133 (0.028),0.109 (0.026),0.236 (0.032),0.240 (0.037),0.166 (0.041),0.181 (0.036),0.295 (0.036)
leadership__balanced_index,-0.015 (0.013),0.010 (0.013),0.011 (0.012),0.033 (0.015),-0.014 (0.018),-0.015 (0.012),-0.000 (0.013)
school__composition_math_mean,0.502 (0.026),0.501 (0.024),0.224 (0.019),0.193 (0.019),0.062 (0.018),0.206 (0.021),0.312 (0.021)
school__log_public_funding_level,0.014 (0.019),-0.037 (0.020),0.104 (0.021),0.123 (0.022),0.022 (0.023),0.061 (0.015),0.043 (0.019)
school__has_tp,-0.107 (0.033),-0.379 (0.034),-0.707 (0.037),-0.538 (0.046),0.265 (0.056),-0.021 (0.027),-0.430 (0.038)
school__has_artistic,-0.640 (0.170),0.383 (0.266),0.553 (0.174),0.900 (0.158),-1.040 (0.485),1.127 (0.476),0.618 (0.291)
