FEATURE,z_year_math_max,z_year_leng_max,admission_exam_taker,any_postulacion,high_paying_field_m1,high_inst_m1,log_program_income_clp_m1
teacher__per100_enrolled,0.102 (0.032),0.072 (0.026),-0.112 (0.021),-0.125 (0.024),0.019 (0.022),0.068 (0.029),0.021 (0.024)
teacher__balanced_index,0.028 (0.019),0.052 (0.018),0.011 (0.015),-0.055 (0.018),-0.036 (0.024),-0.020 (0.016),-0.003 (0.023)
counselor__young_per100,0.056 (0.040),0.020 (0.031),0.017 (0.014),0.016 (0.016),0.001 (0.021),-0.020 (0.023),-0.003 (0.024)
counselor__young_trained_per100,-0.004 (0.031),0.012 (0.024),0.024 (0.014),0.025 (0.013),0.006 (0.017),-0.034 (0.026),-0.008 (0.022)
counselor__old_per100,0.010 (0.023),0.015 (0.023),-0.003 (0.030),-0.007 (0.029),-0.032 (0.023),-0.006 (0.018),-0.032 (0.023)
counselor__old_trained_per100,0.011 (0.019),0.024 (0.019),0.030 (0.011),0.021 (0.012),0.041 (0.016),0.017 (0.015),0.043 (0.018)
leadership__per100_enrolled,-0.001 (0.027),-0.024 (0.023),0.137 (0.020),0.115 (0.021),0.028 (0.016),-0.020 (0.024),-0.013 (0.017)
leadership__balanced_index,0.033 (0.016),0.031 (0.016),0.003 (0.013),0.018 (0.015),-0.023 (0.021),0.007 (0.013),-0.001 (0.019)
school__composition_math_mean,0.487 (0.033),0.499 (0.024),0.311 (0.018),0.185 (0.020),0.091 (0.023),0.127 (0.022),0.258 (0.024)
school__log_enrolled,-0.051 (0.034),-0.093 (0.030),-0.057 (0.027),0.041 (0.031),0.032 (0.035),-0.074 (0.029),-0.118 (0.032)
school__has_tp,-0.186 (0.046),-0.437 (0.042),-0.605 (0.036),-0.263 (0.041),0.078 (0.053),0.093 (0.036),-0.024 (0.052)
school__has_artistic,-0.899 (0.123),0.552 (0.236),0.347 (0.092),0.450 (0.097),-1.511 (0.489),1.598 (0.550),0.210 (0.514)
