FEATURE,z_year_math_max,z_year_leng_max,admission_exam_taker,higher_ed_enrolled_m1,stem_enrollment_m1,high_inst_m1,log_program_income_full_clp_m1
teacher__log1p_per1000,0.258 (0.036),0.175 (0.031),-0.140 (0.034),-0.105 (0.042),0.116 (0.048),0.296 (0.034),0.016 (0.038)
teacher__balanced_index,0.024 (0.016),0.012 (0.016),-0.019 (0.019),-0.070 (0.023),-0.083 (0.027),0.001 (0.015),-0.025 (0.019)
counselor__log1p_per1000,-0.007 (0.023),0.007 (0.025),0.048 (0.025),0.029 (0.033),-0.008 (0.041),-0.005 (0.021),0.040 (0.027)
counselor__ROLE_SPECIFIC_QUALIFICATION,-0.026 (0.014),0.004 (0.014),0.017 (0.016),0.021 (0.021),0.038 (0.022),-0.030 (0.014),0.009 (0.016)
leadership__log1p_per1000,0.061 (0.019),0.044 (0.019),0.013 (0.020),0.049 (0.025),0.048 (0.027),0.051 (0.019),0.056 (0.023)
leadership__balanced_index,0.010 (0.013),0.030 (0.013),0.012 (0.016),0.048 (0.018),-0.013 (0.024),-0.011 (0.012),0.021 (0.015)
school__composition_math_mean,0.530 (0.025),0.555 (0.023),0.359 (0.026),0.291 (0.030),0.056 (0.031),0.271 (0.023),0.474 (0.025)
school__log_public_funding_level,0.012 (0.018),-0.035 (0.018),0.017 (0.029),0.059 (0.029),-0.013 (0.034),0.047 (0.016),-0.046 (0.022)
school__has_tp,-0.054 (0.034),-0.329 (0.036),-0.862 (0.049),-0.586 (0.057),0.165 (0.062),-0.009 (0.032),-0.334 (0.045)
school__has_artistic,-0.824 (0.242),0.173 (0.331),0.293 (0.183),0.639 (0.173),-1.191 (0.370),0.328 (0.430),0.187 (0.242)
